timestamp,memcached_cores_usage
1747077115,2
1747077117,2
1747077119,2
1747077122,2
1747077124,2
1747077126,1
1747077128,1
1747077130,2
1747077132,2
1747077134,2
1747077137,2
1747077139,2
1747077141,2
1747077143,2
1747077145,2
1747077147,2
1747077149,2
1747077151,2
1747077153,2
1747077155,2
1747077157,1
1747077159,2
1747077162,2
1747077164,2
1747077166,2
1747077168,2
1747077170,2
1747077172,1
1747077174,2
1747077176,2
1747077178,2
1747077180,2
1747077182,2
1747077184,2
1747077187,2
1747077189,2
1747077191,2
1747077193,2
1747077195,2
1747077197,2
1747077199,2
1747077201,1
1747077203,2
1747077205,2
1747077207,2
1747077209,2
1747077212,2
1747077214,2
1747077216,1
1747077218,1
1747077220,1
1747077222,1
1747077224,2
1747077226,2
1747077228,2
1747077230,1
1747077232,1
1747077234,1
1747077237,1
1747077239,2
1747077241,2
1747077243,1
1747077245,2
1747077247,2
1747077249,1
1747077251,2
1747077253,2
1747077256,2
1747077258,2
1747077260,2
1747077262,2
1747077264,2
1747077266,1
1747077268,1
1747077270,1
1747077272,1
1747077274,2
1747077276,2
1747077279,2
1747077281,1
1747077283,1
1747077285,2
1747077287,2
1747077289,2
1747077291,2
1747077293,2
1747077295,2
1747077297,2
1747077299,2
1747077302,1
1747077304,1
1747077306,1
1747077308,1
1747077310,1
1747077312,1
1747077314,1
1747077316,1
1747077318,1
1747077320,2
1747077323,2
1747077325,2
1747077327,2
1747077329,2
1747077331,2
1747077333,2
1747077335,2
1747077337,1
1747077339,2
1747077342,2
1747077344,2
1747077346,1
1747077348,1
1747077350,1
1747077352,1
1747077354,1
1747077356,1
1747077358,1
1747077360,1
1747077363,1
1747077365,2
1747077367,2
1747077369,2
1747077371,2
1747077373,2
1747077375,2
1747077377,1
1747077380,1
1747077382,1
1747077384,1
1747077386,2
1747077388,2
1747077390,1
1747077392,1
1747077394,1
1747077396,1
1747077399,1
1747077401,1
1747077403,1
1747077405,1
1747077407,1
1747077409,2
1747077411,2
1747077413,2
1747077415,1
1747077417,1
1747077419,2
1747077421,2
1747077423,1
1747077425,1
1747077427,1
1747077429,2
1747077431,2
1747077433,2
1747077435,2
1747077437,1
1747077439,2
1747077442,2
1747077444,2
1747077446,2
1747077448,2
1747077450,2
1747077452,1
1747077454,1
1747077456,1
1747077458,1
1747077460,1
1747077462,1
1747077464,1
1747077466,1
1747077468,1
1747077470,2
1747077472,2
1747077474,2
1747077476,2
1747077478,2
1747077480,2
1747077482,2
1747077484,2
1747077486,1
1747077488,1
1747077491,1
1747077493,1
1747077495,2
1747077497,2
1747077499,2
1747077501,2
1747077503,2
1747077505,2
1747077507,2
1747077509,2
1747077511,1
1747077513,1
1747077515,2
1747077517,2
1747077519,1
1747077521,1
1747077523,1
1747077525,1
1747077527,1
1747077529,2
1747077531,2
1747077533,2
1747077535,2
1747077537,2
1747077539,2
1747077541,2
1747077543,2
1747077545,1
1747077547,1
1747077549,2
1747077551,2
1747077553,2
1747077555,1
1747077557,1
1747077559,1
1747077561,1
1747077563,1
1747077565,2
1747077568,2
1747077570,2
1747077572,2
1747077574,2
1747077576,2
1747077578,1
1747077580,1
1747077582,1
1747077584,2
1747077586,2
1747077588,2
1747077590,2
1747077592,1
1747077594,1
1747077596,1
1747077598,1
1747077600,1
1747077602,1
1747077604,1
1747077606,1
1747077608,1
1747077610,2
1747077612,2
1747077614,2
1747077616,2
1747077618,2
1747077620,2
1747077622,1
1747077624,1
1747077626,1
1747077628,1
1747077630,2
1747077632,2
1747077634,2
1747077636,2
1747077638,2
1747077640,1
1747077643,1
1747077645,1
1747077647,1
1747077649,2
1747077651,2
1747077653,2
1747077655,2
1747077657,2
1747077659,2
1747077661,2
1747077663,2
1747077665,2
1747077667,2
1747077669,2
1747077671,2
1747077673,2
1747077675,2
1747077677,1
1747077679,2
1747077681,2
1747077683,2
1747077685,2
1747077687,1
1747077689,2
1747077691,2
1747077693,2
1747077695,2
1747077697,1
1747077699,1
1747077701,1
1747077703,1
1747077705,1
1747077707,1
1747077709,1
1747077711,1
1747077713,1
1747077715,2
1747077717,2
1747077719,2
1747077721,2
1747077723,2
1747077725,2
1747077727,1
1747077730,2
1747077732,2
1747077734,2
1747077736,1
1747077738,1
1747077740,1
1747077742,1
1747077744,2
1747077747,2
1747077749,2
1747077751,1
1747077754,2
1747077756,2
1747077758,2
1747077760,2
1747077762,1
1747077764,1
1747077766,1
1747077768,1
1747077770,2
1747077772,2
1747077774,2
1747077776,1
1747077778,1
1747077780,1
1747077782,1
1747077785,2
1747077787,2
1747077789,2
1747077791,2
1747077793,2
1747077795,2
1747077800,2
1747077802,2
1747077804,2
1747077806,2
1747077808,2
1747077810,2
1747077812,2
1747077814,2
1747077816,2
1747077818,2
1747077820,2
1747077822,1
1747077824,2
1747077826,2
1747077830,2
1747077832,1
1747077834,2
1747077836,2
1747077838,2
1747077840,2
1747077842,2
1747077844,2
1747077846,2
1747077848,2
1747077850,2
1747077852,1
1747077854,2
1747077856,2
1747077858,2
1747077860,2
1747077862,1
1747077864,1
1747077866,1
1747077868,1
1747077870,1
1747077872,1
1747077874,1
1747077876,1
1747077878,1
1747077880,2
1747077883,2
1747077885,2
1747077887,1
1747077889,2
1747077891,2
1747077893,2
