job_name,timestamp,status
ferret,1747072911,RUNNING
blackscholes,1747072913,RUNNING
ferret,1747072913,RUNNING
blackscholes,1747072915,RUNNING
ferret,1747072915,RUNNING
blackscholes,1747072917,RUNNING
ferret,1747072917,RUNNING
blackscholes,1747072919,RUNNING
ferret,1747072920,RUNNING
blackscholes,1747072922,RUNNING
ferret,1747072922,RUNNING
blackscholes,1747072924,RUNNING
ferret,1747072924,RUNNING
blackscholes,1747072926,RUNNING
ferret,1747072926,RUNNING
blackscholes,1747072928,RUNNING
ferret,1747072928,RUNNING
blackscholes,1747072930,PAUSED
ferret,1747072930,RUNNING
blackscholes,1747072932,PAUSED
ferret,1747072932,RUNNING
blackscholes,1747072934,PAUSED
ferret,1747072934,RUNNING
blackscholes,1747072936,PAUSED
ferret,1747072936,RUNNING
blackscholes,1747072938,PAUSED
ferret,1747072938,RUNNING
blackscholes,1747072940,PAUSED
ferret,1747072940,RUNNING
blackscholes,1747072942,RUNNING
ferret,1747072943,RUNNING
blackscholes,1747072945,RUNNING
ferret,1747072945,RUNNING
blackscholes,1747072947,RUNNING
ferret,1747072947,RUNNING
blackscholes,1747072949,RUNNING
ferret,1747072949,RUNNING
blackscholes,1747072951,RUNNING
ferret,1747072951,RUNNING
blackscholes,1747072953,RUNNING
ferret,1747072953,RUNNING
blackscholes,1747072955,RUNNING
ferret,1747072955,RUNNING
blackscholes,1747072957,RUNNING
ferret,1747072957,RUNNING
blackscholes,1747072959,PAUSED
ferret,1747072959,RUNNING
blackscholes,1747072961,PAUSED
ferret,1747072961,RUNNING
blackscholes,1747072963,RUNNING
ferret,1747072964,RUNNING
blackscholes,1747072966,PAUSED
ferret,1747072966,RUNNING
blackscholes,1747072968,PAUSED
ferret,1747072968,RUNNING
blackscholes,1747072970,RUNNING
ferret,1747072970,COMPLETED
blackscholes,1747072972,PAUSED
freqmine,1747072972,RUNNING
blackscholes,1747072974,PAUSED
freqmine,1747072974,RUNNING
blackscholes,1747072976,RUNNING
freqmine,1747072976,RUNNING
blackscholes,1747072978,PAUSED
freqmine,1747072978,RUNNING
blackscholes,1747072981,PAUSED
freqmine,1747072981,RUNNING
blackscholes,1747072983,RUNNING
freqmine,1747072983,RUNNING
blackscholes,1747072985,PAUSED
freqmine,1747072985,RUNNING
blackscholes,1747072987,PAUSED
freqmine,1747072987,RUNNING
blackscholes,1747072989,PAUSED
freqmine,1747072989,RUNNING
blackscholes,1747072991,PAUSED
freqmine,1747072991,RUNNING
blackscholes,1747072993,PAUSED
freqmine,1747072993,RUNNING
blackscholes,1747072995,PAUSED
freqmine,1747072995,RUNNING
blackscholes,1747072997,PAUSED
freqmine,1747072997,RUNNING
blackscholes,1747072999,PAUSED
freqmine,1747072999,RUNNING
blackscholes,1747073001,PAUSED
freqmine,1747073001,RUNNING
blackscholes,1747073003,PAUSED
freqmine,1747073003,RUNNING
blackscholes,1747073005,PAUSED
freqmine,1747073005,RUNNING
blackscholes,1747073007,PAUSED
freqmine,1747073007,RUNNING
blackscholes,1747073009,PAUSED
freqmine,1747073009,RUNNING
blackscholes,1747073011,RUNNING
freqmine,1747073011,RUNNING
blackscholes,1747073013,RUNNING
freqmine,1747073013,RUNNING
blackscholes,1747073015,RUNNING
freqmine,1747073015,RUNNING
blackscholes,1747073017,RUNNING
freqmine,1747073017,RUNNING
blackscholes,1747073019,RUNNING
freqmine,1747073019,RUNNING
blackscholes,1747073021,RUNNING
freqmine,1747073021,RUNNING
blackscholes,1747073023,RUNNING
freqmine,1747073023,RUNNING
blackscholes,1747073025,RUNNING
freqmine,1747073025,RUNNING
blackscholes,1747073027,RUNNING
freqmine,1747073027,RUNNING
blackscholes,1747073029,PAUSED
freqmine,1747073029,RUNNING
blackscholes,1747073031,PAUSED
freqmine,1747073031,RUNNING
blackscholes,1747073033,PAUSED
freqmine,1747073033,RUNNING
blackscholes,1747073035,PAUSED
freqmine,1747073035,RUNNING
blackscholes,1747073037,PAUSED
freqmine,1747073037,RUNNING
blackscholes,1747073040,PAUSED
freqmine,1747073040,RUNNING
blackscholes,1747073042,RUNNING
freqmine,1747073042,RUNNING
blackscholes,1747073044,RUNNING
freqmine,1747073044,RUNNING
blackscholes,1747073046,RUNNING
freqmine,1747073046,RUNNING
blackscholes,1747073048,RUNNING
