job_name,average_execution_time_seconds,std_dev_execution_time_seconds
blackscholes,162.16666666666666,44.210481411840185
canneal,370.1666666666667,130.32178124422128
dedup,37.333333333333336,15.970806700560454
ferret,323.6666666666667,92.8841572425926
freqmine,392.6666666666667,115.03854426524471
radix,291.3333333333333,577.4362879718132
Total,780.4556608994802,16.160956710474675
