timestamp,memcached_cores_usage
1747072703,1
1747072705,1
1747072707,2
1747072709,2
1747072711,2
1747072713,2
1747072715,2
1747072717,2
1747072719,2
1747072722,2
1747072724,2
1747072726,2
1747072728,2
1747072730,1
1747072732,1
1747072734,1
1747072736,1
1747072738,2
1747072740,2
1747072742,2
1747072744,2
1747072746,2
1747072748,2
1747072751,2
1747072753,2
1747072755,2
1747072757,2
1747072759,2
1747072761,2
1747072763,2
1747072765,2
1747072767,2
1747072769,2
1747072771,2
1747072773,2
1747072775,2
1747072777,2
1747072779,2
1747072782,2
1747072784,2
1747072786,2
1747072788,2
1747072790,2
1747072792,2
1747072794,2
1747072796,2
1747072798,2
1747072800,2
1747072802,2
1747072804,2
1747072806,2
1747072809,2
1747072811,2
1747072813,2
1747072815,2
1747072817,2
1747072819,2
1747072821,2
1747072823,2
1747072825,2
1747072827,2
1747072829,2
1747072831,2
1747072834,2
1747072836,2
1747072838,2
1747072840,2
1747072842,2
1747072844,2
1747072846,2
1747072848,2
1747072850,2
1747072852,2
1747072855,2
1747072857,2
1747072859,2
1747072861,2
1747072863,2
1747072865,2
1747072867,2
1747072869,2
1747072871,2
1747072873,2
1747072875,2
1747072877,2
1747072880,1
1747072882,2
1747072884,2
1747072886,1
1747072888,2
1747072890,2
1747072892,2
1747072894,2
1747072897,2
1747072899,2
1747072901,2
1747072903,2
1747072905,2
1747072907,2
1747072909,1
1747072911,1
1747072913,1
1747072915,1
1747072917,1
1747072919,1
1747072922,1
1747072924,1
1747072926,1
1747072928,2
1747072930,2
1747072932,2
1747072934,2
1747072936,2
1747072938,2
1747072940,1
1747072942,1
1747072945,1
1747072947,1
1747072949,1
1747072951,1
1747072953,1
1747072955,1
1747072957,2
1747072959,2
1747072961,1
1747072963,2
1747072966,2
1747072968,1
1747072970,2
1747072972,2
1747072974,1
1747072976,2
1747072978,2
1747072981,1
1747072983,2
1747072985,2
1747072987,2
1747072989,2
1747072991,2
1747072993,2
1747072995,2
1747072997,2
1747072999,2
1747073001,2
1747073003,2
1747073005,2
1747073007,2
1747073009,1
1747073011,1
1747073013,1
1747073015,1
1747073017,1
1747073019,1
1747073021,1
1747073023,1
1747073025,1
1747073027,2
1747073029,2
1747073031,2
1747073033,2
1747073035,2
1747073037,2
1747073039,1
1747073042,1
1747073044,1
1747073046,1
1747073048,2
1747073050,2
1747073052,2
1747073054,2
1747073056,2
1747073058,2
1747073060,2
1747073062,2
1747073064,2
1747073066,2
1747073068,2
1747073070,2
1747073072,2
1747073074,2
1747073076,2
1747073078,2
1747073080,1
1747073082,1
1747073084,1
1747073086,1
1747073088,1
1747073090,1
1747073092,1
1747073094,1
1747073096,1
1747073098,1
1747073100,1
1747073102,1
1747073104,1
1747073106,1
1747073108,1
1747073110,1
1747073112,1
1747073114,1
1747073116,1
1747073118,2
1747073120,2
1747073122,2
1747073124,2
1747073126,2
1747073128,2
1747073130,1
1747073133,2
1747073135,2
1747073137,2
1747073139,2
1747073141,2
1747073143,2
1747073145,2
1747073147,2
1747073149,2
1747073151,1
1747073153,2
1747073155,2
1747073157,1
1747073159,2
1747073161,2
1747073163,1
1747073165,2
1747073167,2
1747073169,1
1747073171,1
1747073173,1
1747073175,1
1747073177,1
1747073179,1
1747073181,1
1747073183,1
1747073185,1
1747073187,1
1747073189,1
1747073191,1
1747073193,1
1747073195,1
1747073197,1
1747073199,1
1747073201,1
1747073203,1
1747073205,1
1747073207,2
1747073210,2
1747073212,1
1747073214,2
1747073216,2
1747073218,2
1747073220,2
1747073222,2
1747073224,2
1747073226,2
1747073228,2
1747073230,1
1747073232,1
1747073234,1
1747073236,1
1747073238,1
1747073240,1
1747073242,1
1747073244,1
1747073246,1
1747073248,1
1747073250,1
1747073252,1
1747073254,1
1747073256,1
1747073258,1
1747073260,1
1747073262,1
1747073264,1
1747073266,1
1747073268,1
1747073270,1
1747073272,1
1747073274,1
1747073276,1
1747073278,1
1747073280,1
1747073282,1
1747073284,1
1747073286,1
1747073288,1
1747073290,1
1747073292,1
1747073294,1
1747073297,1
1747073299,2
1747073301,2
1747073303,1
1747073305,2
1747073307,2
1747073309,1
1747073311,1
1747073313,1
1747073315,1
1747073317,1
1747073319,2
1747073321,2
1747073323,1
1747073325,2
1747073327,2
1747073329,1
1747073331,1
1747073334,1
1747073336,1
1747073338,2
1747073340,2
1747073342,2
1747073344,2
1747073346,2
1747073348,2
1747073350,1
1747073353,1
1747073355,1
1747073357,2
1747073359,2
1747073361,2
1747073364,2
1747073366,2
1747073368,2
1747073370,1
1747073372,2
1747073374,1
