#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      188.5    94.9    86.8   136.1   144.8   182.3   197.3   205.9   212.6   219.8   230.9   249.8   300.6   696.8  3637.1   4952.0     5000  1744876480584  1744876485862
read      195.4    79.9    74.4   131.8   143.9   192.3   209.3   218.1   225.5   233.2   244.8   262.5   304.6   505.4  2374.5  10028.0    10000  1744876487366  1744876492603
read      203.7    61.4    80.4   129.1   140.2   202.1   221.9   232.3   240.1   249.8   262.4   282.0   332.5   506.5  2080.8  14921.0    15000  1744876494107  1744876499304
read      214.1    92.7    86.8   126.5   137.6   214.3   236.2   248.6   256.9   267.4   279.9   299.3   351.2   542.0  3231.2  20016.2    20000  1744876500807  1744876506009
read      215.8    81.0    74.4   122.5   133.9   216.8   241.6   254.3   264.1   274.0   288.9   311.2   364.6   550.0  2752.6  25078.2    25000  1744876507513  1744876512713
read      220.2    93.0    80.4   121.6   132.9   221.5   249.4   263.6   272.9   285.2   299.3   322.2   378.5   538.4  2258.0  30013.5    30000  1744876514216  1744876519414
read      222.4    94.9    74.4   118.4   128.9   223.5   254.6   269.9   280.7   292.9   309.3   334.6   391.8   576.8  2885.8  34825.6    35000  1744876520918  1744876526119
read      224.6    95.0    80.4   118.2   128.4   224.0   259.6   276.0   288.0   300.9   317.5   344.1   403.3   643.7  3676.7  40016.2    40000  1744876527623  1744876532825
read      226.1   101.1    74.4   116.4   126.9   223.7   264.3   283.1   295.5   310.4   328.5   357.2   413.2   527.9  2426.8  45017.6    45000  1744876534329  1744876539527
read      229.1   103.2    74.4   117.2   127.8   224.2   268.6   289.0   302.6   317.7   337.8   367.3   430.4   556.7  3971.9  49984.2    50000  1744876541030  1744876546228
read      228.6    94.3    80.4   116.0   126.3   220.2   269.0   290.9   305.6   321.0   342.1   372.0   435.2   615.5  2492.1  54978.5    55000  1744876547732  1744876552934
read      228.7   105.8    80.4   114.5   124.9   217.2   268.6   292.0   307.5   324.4   346.1   378.8   450.0   628.7  2461.8  60042.4    60000  1744876554437  1744876559635
read      231.2   109.0    80.4   115.0   125.6   216.5   270.1   295.4   312.3   331.5   355.1   390.0   461.3   681.1  2829.6  64943.2    65000  1744876561139  1744876566344
read      228.9   107.7    74.4   113.8   124.2   212.2   267.4   293.7   311.2   330.9   355.1   390.3   461.3   652.2  2200.3  69976.0    70000  1744876567849  1744876573055
read      231.3   108.3    74.4   114.8   125.4   212.3   268.5   296.6   315.0   336.1   361.9   398.4   478.4   630.7  3175.9  74939.2    75000  1744876574560  1744876579757
read      231.6   118.3    74.4   115.2   126.0   210.7   266.5   295.8   315.6   337.9   364.5   401.2   478.7   679.0  2918.3  80015.0    80000  1744876581261  1744876586460
read      229.4   105.7    74.4   115.2   125.9   207.4   261.5   291.4   311.7   334.7   362.6   400.8   482.8   694.2  2678.6  85028.9    85000  1744876587964  1744876593162
read      229.8   108.7    74.4   113.9   125.2   207.9   262.5   292.6   313.0   336.3   364.3   402.7   488.6   662.3  2331.7  90002.0    90000  1744876594666  1744876599870
read      228.8   111.7    74.4   114.3   125.6   207.9   259.5   289.3   309.9   333.1   360.9   398.7   471.3   610.3  2905.6  95144.6    95000  1744876601374  1744876606573
read      231.6   113.4    74.4   117.2   129.2   210.9   260.9   290.2   310.8   334.3   362.8   401.9   483.6   667.9  3064.5 100006.2   100000  1744876608076  1744876613277
read      235.1   130.3    74.4   119.2   131.7   213.9   263.3   292.1   312.6   336.4   365.8   406.5   494.6   675.4  3535.5 105038.1   105000  1744876614781  1744876619983
read      238.6   122.8    80.4   121.9   135.1   218.0   266.4   295.0   315.3   339.0   368.1   409.6   498.5   704.6  4302.4 109987.4   110000  1744876621487  1744876626686
read      246.5   101.3    74.4   126.6   140.7   226.5   275.0   303.8   324.3   348.4   378.7   424.4   530.3   756.6  1987.8 114545.7   115000  1744876628190  1744876633389
read      244.9   111.3    80.4   128.2   142.1   226.3   272.6   299.6   318.9   342.2   371.2   415.1   505.7   689.1  2881.9 119999.2   120000  1744876634893  1744876640093
read      262.4   113.8    80.4   137.0   153.0   245.9   293.0   319.9   339.8   363.0   392.2   435.2   533.5   721.2  3025.5 124905.0   125000  1744876641596  1744876646796
read      298.7   128.2    80.4   155.7   176.3   284.3   334.4   362.7   383.0   406.0   436.2   484.6   579.5   773.5  3836.7 130022.0   130000  1744876648299  1744876653499
read      374.5   141.0    80.4   191.3   218.9   363.6   427.5   460.3   483.4   509.0   542.5   590.9   692.6   890.2  3276.0 134302.9   135000  1744876655003  1744876660201
read      433.3   168.2    93.8   231.9   259.8   413.0   507.8   546.6   571.9   598.2   630.3   676.3   765.7  1038.3  4924.4 138463.5   140000  1744876661705  1744876666908
read      428.8   164.8    93.8   227.4   255.1   425.6   501.3   534.0   555.3   580.0   609.7   651.2   743.0  1084.9  4996.1 142098.8   145000  1744876668411  1744876673611
read      476.2   182.0    93.8   271.1   298.8   415.7   563.7   622.7   653.8   682.7   715.7   753.6   836.1   979.2  4060.3 134750.0   150000  1744876675115  1744876680319
read      458.8   165.8    93.8   256.7   282.9   410.3   544.2   594.4   622.2   651.0   682.4   727.6   806.4   988.5  2780.0 139515.2   155000  1744876681823  1744876687023
read      458.3   175.3    93.8   246.7   275.0   433.1   543.2   584.5   610.5   636.9   670.5   717.3   816.0  1108.1  4469.9 139462.0   160000  1744876688527  1744876693725
read      453.5   174.0    93.8   250.9   276.5   416.9   549.0   588.2   611.5   634.5   663.8   699.9   789.1  1012.4  4587.1 141525.1   165000  1744876695229  1744876700429
read      463.3   196.3    86.8   257.7   283.9   415.0   554.7   602.0   627.6   654.5   683.1   726.0   806.0  1117.2  6602.4 139242.5   170000  1744876701933  1744876707136
read      462.4   177.2    93.8   254.2   282.2   424.2   540.6   589.7   618.6   648.5   683.0   731.5   824.5  1070.9  4306.8 139557.7   175000  1744876708641  1744876713841
read      467.7   181.9    93.8   259.9   286.4   420.8   559.5   606.6   632.8   660.4   688.8   733.1   821.3  1099.2  5128.0 138016.3   180000  1744876715344  1744876720546
read      479.7   173.6    93.8   270.6   298.3   422.8   573.2   626.6   655.7   683.6   716.6   756.8   850.3  1013.2  3152.5 134634.7   185000  1744876722050  1744876727250
read      480.9   183.8    86.8   280.1   305.5   407.2   578.6   640.6   667.7   694.6   724.5   761.3   841.2  1009.5  3732.6 134314.0   190000  1744876728754  1744876733955
read      462.1   180.2   101.3   255.1   280.3   419.5   555.1   599.1   624.0   650.3   680.7   726.5   822.3  1054.5  5568.4 139641.7   195000  1744876735459  1744876740657
read      464.2   179.2    86.8   260.8   286.3   412.0   553.9   602.3   628.8   657.3   687.8   735.1   828.0  1066.3  4008.3 139131.8   200000  1744876742161  1744876747361
read      483.6   200.2    93.8   276.0   302.8   417.2   572.3   633.7   664.3   693.5   726.3   770.2   861.3  1274.3  5814.6 133577.8   205000  1744876748865  1744876754072
read      480.9   181.4    93.8   276.0   302.4   414.5   568.3   630.6   662.2   692.3   726.0   770.7   861.8  1072.8  4058.3 134352.8   210000  1744876755575  1744876760777
read      484.9   185.5   101.3   278.2   304.4   417.9   579.9   640.4   668.9   697.5   728.5   770.3   852.7  1040.8  4349.9 133243.6   215000  1744876762281  1744876767481
read      469.3   183.1   101.3   266.5   294.5   408.1   553.2   611.0   642.5   672.4   705.0   743.9   822.3  1029.9  4639.5 137585.4   220000  1744876768984  1744876774184
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.56%,51.24%,100.00%
