#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      195.5    78.1    86.8   137.7   147.6   190.7   206.4   215.4   222.1   230.2   240.4   258.6   312.3   593.7  3111.9   5015.0     5000  1744876158730  1744876163988
read      200.7    76.7    86.8   135.0   147.2   197.0   214.6   224.5   231.4   239.9   251.7   270.9   316.5   530.0  4070.9  10009.8    10000  1744876165492  1744876170729
read      205.0    71.5    86.8   130.4   143.2   203.6   222.7   232.5   240.0   249.3   261.1   278.6   323.6   570.2  2405.0  15075.2    15000  1744876172232  1744876177433
read      219.9    71.8    80.4   128.3   141.2   220.9   243.8   256.0   265.3   274.7   289.2   311.0   364.9   509.1  1817.7  19952.6    20000  1744876178937  1744876184140
read      227.1    80.2    86.8   127.2   139.3   227.9   255.0   269.1   278.8   290.8   306.0   329.7   381.7   593.9  2881.4  25073.4    25000  1744876185644  1744876190843
read      229.1    76.9    80.4   127.6   139.0   230.2   260.1   274.6   285.6   296.8   313.2   337.3   390.0   550.4  1745.9  30036.0    30000  1744876192346  1744876197543
read      231.2   106.0    80.4   120.6   131.8   231.6   264.5   280.5   291.5   304.6   320.2   346.9   412.0   981.6  3800.4  34993.4    35000  1744876199047  1744876204252
read      233.2    93.1    80.4   120.6   131.7   233.0   270.7   288.5   300.5   315.0   333.8   362.3   422.6   587.7  1825.7  40077.2    40000  1744876205755  1744876210964
read      233.4   109.6    80.4   118.8   129.4   229.2   269.9   289.2   302.3   317.0   337.4   368.8   459.4   783.2  3182.9  45112.4    45000  1744876212468  1744876217666
read      230.5    87.9    80.4   114.9   125.5   227.5   271.4   291.7   305.6   320.4   341.4   371.0   434.2   586.1  1514.7  49948.4    50000  1744876219170  1744876224378
read      233.2   103.7    80.4   116.1   126.6   225.8   273.4   295.2   310.3   327.2   348.3   381.4   457.7   641.2  2958.3  55004.0    55000  1744876225882  1744876231084
read      230.5   101.9    74.4   113.8   124.5   221.6   272.2   295.3   310.8   328.0   349.0   381.4   452.5   612.8  1431.0  59959.9    60000  1744876232588  1744876237787
read      232.1   118.7    74.4   115.5   126.1   216.3   269.7   295.1   312.1   331.3   354.7   389.8   470.3   928.3  3076.6  64999.2    65000  1744876239291  1744876244494
read      233.8   119.3    80.4   117.1   127.9   216.2   271.4   298.4   316.4   337.1   362.3   397.6   475.0   686.7  2668.0  70054.9    70000  1744876245998  1744876251199
read      233.4   112.3    80.4   117.4   128.2   213.9   268.2   296.1   315.2   336.8   362.9   399.4   489.4   692.9  2886.2  75224.6    75000  1744876252702  1744876257901
