#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      201.2    83.0    86.8   142.0   153.1   195.5   213.6   223.7   230.8   239.0   250.9   269.2   316.3   508.9  3192.7   4989.4     5000  1744877772426  1744877777688
read      213.9    97.0    93.8   140.5   154.9   210.6   230.4   241.3   249.3   258.6   271.1   291.5   337.0   500.3  5265.5  10004.2    10000  1744877779191  1744877784429
read      218.3    78.3    86.8   130.3   145.8   218.6   239.9   251.3   259.8   269.6   282.4   302.0   345.9   524.5  3062.0  15109.2    15000  1744877785933  1744877791137
read      219.1    74.6    80.4   123.9   137.7   218.9   243.6   256.8   266.7   277.2   292.2   315.0   371.4   638.0  2036.0  20031.4    20000  1744877792641  1744877797838
read      231.4    85.6    80.4   124.1   137.3   232.6   261.0   275.2   286.4   297.8   314.5   339.5   396.7   605.2  2946.9  24897.8    25000  1744877799341  1744877804540
read      235.9    87.6    80.4   125.4   138.1   236.1   269.6   286.2   297.0   311.1   327.8   353.7   417.5   602.4  2035.4  30036.8    30000  1744877806045  1744877811240
read      228.1    94.2    80.4   119.4   130.2   227.3   263.7   280.7   292.4   306.0   321.2   346.3   401.4   553.2  2740.0  35149.6    35000  1744877812744  1744877817943
read      235.7    91.6    80.4   119.0   130.0   235.2   276.5   295.1   308.1   321.5   340.2   367.4   429.1   587.4  2199.8  39997.4    40000  1744877819446  1744877824649
read      235.1    94.3    80.4   118.4   129.1   231.5   276.6   296.7   310.5   325.4   343.8   372.5   434.9   602.5  2421.8  45091.3    45000  1744877826153  1744877831357
read      235.7    98.4    74.4   114.8   125.9   231.9   279.9   301.4   315.4   331.8   351.0   380.7   440.0   576.6  1939.4  49873.6    50000  1744877832860  1744877838062
read      233.8   122.2    74.4   114.4   124.9   224.9   276.7   300.7   316.0   333.2   353.5   383.9   442.8   590.3  2880.2  55045.4    55000  1744877839566  1744877844770
read      235.2    97.9    80.4   115.3   125.7   222.1   278.2   304.6   321.1   339.8   362.5   395.5   464.6   593.3  1771.9  60166.7    60000  1744877846273  1744877851472
read      233.8    95.1    74.4   114.6   125.2   219.5   275.6   303.5   320.9   340.5   363.7   396.3   460.4   575.1  1336.4  64853.5    65000  1744877852976  1744877858175
read      238.5   108.6    74.4   114.1   124.7   222.6   282.3   311.0   329.7   349.6   373.8   408.8   479.5   616.1  2045.5  69893.6    70000  1744877859679  1744877864877
read      238.1   108.1    74.4   113.8   124.7   220.3   279.7   309.9   329.5   350.5   375.4   412.1   485.0   653.8  1979.4  74848.5    75000  1744877866381  1744877871580
read      231.4   102.2    74.4   113.6   123.9   211.2   268.9   300.1   320.4   342.4   368.3   403.2   469.6   584.9  1595.3  79803.2    80000  1744877873084  1744877878288
read      233.6   109.6    74.4   114.5   125.3   211.4   268.6   301.3   323.1   346.5   373.8   412.4   486.1   632.8  2724.0  85211.0    85000  1744877879792  1744877884996
read      231.5   103.1    74.4   113.7   124.2   208.1   264.8   298.6   321.6   346.3   374.4   412.9   482.0   617.2  1384.7  90121.0    90000  1744877886501  1744877891699
