#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      653.9   305.8   109.4   399.4   435.6   558.3   655.1   798.8   892.6   962.2  1021.9  1093.1  1306.4  1902.4  8714.1  99637.4   185000  1744891495360  1744891500564
read      675.1   329.7   109.4   402.1   439.6   579.6   708.4   810.0   895.2   970.0  1038.9  1135.0  1454.7  3105.5  7738.0  96644.8   190000  1744891502067  1744891507268
read      667.2   307.2   109.4   393.5   434.0   574.1   692.5   808.3   887.5   962.2  1033.0  1122.7  1422.3  3496.6  7575.4  97662.0   195000  1744891508771  1744891513974
read      649.8   340.9   127.6   382.0   417.9   557.9   690.1   792.4   866.6   932.4   997.9  1085.7  1376.6  1851.4 10016.8 100220.1   200000  1744891515477  1744891520681
read      663.3   320.2   118.1   386.9   424.4   574.3   703.2   804.8   879.4   948.0  1015.5  1115.9  1412.5  1975.5 11652.2  98234.8   205000  1744891522184  1744891527386
read      648.7   314.1   118.1   391.8   431.0   555.1   648.4   786.5   877.4   952.3  1014.5  1087.4  1281.2  1820.6  7921.2 100458.3   210000  1744891528889  1744891534093
read      673.3   347.1   109.4   388.2   427.2   585.2   717.5   805.5   880.3   953.0  1026.3  1145.9  1443.6  2786.6 12151.0  96790.3   215000  1744891535596  1744891540802
read      670.4   332.1   127.6   393.2   433.9   580.3   701.0   800.2   880.9   957.6  1031.8  1128.3  1434.8  3642.6  7969.4  97318.6   220000  1744891542305  1744891547509
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 81.83%,45.50%,100.00%
