#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      188.8    93.8    93.8   132.1   142.6   183.0   198.6   207.9   214.7   223.0   233.4   252.8   313.7   556.1  5766.6   4974.6     5000  1744877450785  1744877456051
read      197.0    86.9    86.8   131.6   144.8   192.6   210.1   219.3   226.9   234.5   247.3   266.3   311.1   596.4  3235.3   9976.0    10000  1744877457555  1744877462791
read      209.2    78.5    86.8   131.0   145.0   207.7   227.8   238.1   246.6   255.0   268.4   287.9   332.5   501.5  3847.8  14968.8    15000  1744877464294  1744877469496
read      213.5    71.3    74.4   126.3   138.3   213.9   236.6   249.2   257.8   268.4   281.4   300.8   344.9   482.9  2001.2  19888.0    20000  1744877470999  1744877476198
read      219.8    66.4    80.4   123.2   135.8   221.7   248.1   261.7   270.8   282.1   295.5   317.5   367.0   569.9  1375.1  25080.2    25000  1744877477702  1744877482897
read      220.8    81.9    80.4   121.0   132.4   221.3   251.8   267.0   277.0   289.6   304.7   327.0   377.7   526.8  2143.7  30065.4    30000  1744877484401  1744877489602
read      231.9    86.5    80.4   120.2   131.9   232.3   268.3   285.6   296.8   310.8   327.1   352.1   405.5   581.1  2290.5  34968.2    35000  1744877491105  1744877496305
read      230.1    95.4    80.4   117.4   128.8   229.3   268.6   287.1   299.2   313.2   330.4   356.2   409.8   550.8  2986.8  40107.8    40000  1744877497808  1744877503016
read      227.9    95.9    80.4   116.0   126.7   224.6   266.8   286.2   298.7   313.5   331.6   358.9   415.9   594.4  2923.0  45031.1    45000  1744877504520  1744877509719
read      231.9    92.9    80.4   116.9   128.0   225.9   272.9   294.2   308.3   323.2   342.3   371.3   431.3   583.8  2077.0  50028.4    50000  1744877511222  1744877516423
read      237.2   104.7    74.4   116.4   127.5   228.5   279.3   302.5   317.4   334.7   355.6   388.2   463.6   732.6  3254.1  54982.8    55000  1744877517927  1744877523126
read      231.8   102.2    80.4   115.2   125.8   218.9   272.1   297.8   314.3   332.5   354.2   386.4   451.8   610.0  2168.3  59865.1    60000  1744877524630  1744877529826
read      235.3    98.3    74.4   113.8   124.8   220.8   277.2   304.6   321.9   341.3   365.8   400.0   469.5   623.6  1404.9  64967.6    65000  1744877531329  1744877536529
