#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      208.8    60.2   101.3   149.8   161.0   202.8   222.3   232.8   240.4   248.9   259.5   275.1   314.9   969.6  2332.1   4992.2     5000  1744894645753  1744894651013
read      221.3    66.2    93.8   149.3   162.4   219.8   240.3   250.9   258.3   267.2   276.6   294.5   336.5   432.4  2996.7   9934.8    10000  1744894652516  1744894657758
read      230.8    79.7    93.8   144.8   159.4   230.9   253.9   265.4   272.7   282.7   294.2   313.6   355.9   553.0  3563.5  14873.1    15000  1744894659261  1744894664463
read      237.9    86.1    86.8   142.2   157.0   241.0   265.6   277.2   286.2   295.3   309.0   327.9   371.0   455.4  2135.6  19937.6    20000  1744894665966  1744894671165
read      247.8    83.1    80.4   138.5   153.4   253.7   281.1   294.2   303.9   314.6   328.4   348.1   395.2   487.7  3021.4  25041.9    25000  1744894672668  1744894677866
read      248.2    81.8    86.8   136.2   149.7   254.2   284.7   299.3   309.8   320.3   336.1   358.3   402.2   490.6  2277.2  29835.5    30000  1744894679369  1744894684571
read      249.7    92.1    86.8   134.3   147.9   254.8   288.3   304.2   314.8   327.2   342.2   365.8   410.8   607.4  3439.2  35190.2    35000  1744894686074  1744894691274
read      249.7    93.6    80.4   130.8   143.4   253.8   292.2   309.8   320.8   335.1   351.0   373.8   427.1   554.4  3152.0  40040.0    40000  1744894692777  1744894697975
read      252.4    94.6    80.4   127.5   140.2   257.4   299.5   317.7   330.6   344.2   362.6   388.5   436.1   527.0  1980.5  44987.6    45000  1744894699478  1744894704681
read      249.8   121.9    80.4   126.7   139.1   248.0   295.6   315.9   329.8   344.6   364.1   391.7   445.9   544.1  3154.0  49917.3    50000  1744894706184  1744894711383
read      252.8   106.0    80.4   122.8   135.8   250.4   303.0   325.4   340.4   357.4   376.7   403.9   463.0   558.2  2611.1  54913.6    55000  1744894712886  1744894718085
read      249.9   114.0    80.4   122.9   135.6   241.8   298.2   322.1   338.0   355.4   375.2   404.3   468.4   589.1  2965.4  60247.0    60000  1744894719588  1744894724788
read      248.8   121.0    80.4   121.5   133.8   236.5   296.2   321.5   338.4   357.1   378.6   409.6   474.4   647.9  3365.3  64911.7    65000  1744894726291  1744894731491
read      244.4   127.2    74.4   121.7   133.7   227.9   288.6   315.7   333.5   352.5   374.1   405.8   470.0   613.7  3082.7  70230.6    70000  1744894732994  1744894738193
read      244.2   140.9    80.4   121.7   133.7   224.8   286.3   314.8   333.5   353.7   377.3   411.1   480.0   611.4  4355.1  75188.0    75000  1744894739696  1744894744897
read      242.1   132.3    80.4   121.9   133.7   219.6   280.9   310.9   330.3   351.2   375.4   411.7   489.2   736.6  4685.5  79977.0    80000  1744894746400  1744894751600
read      241.0   132.7    80.4   121.3   133.0   217.8   278.6   309.2   329.2   351.0   376.1   413.4   488.4   677.5  4426.1  85017.1    85000  1744894753104  1744894758301
read      242.6   116.8    80.4   122.8   134.9   219.7   280.3   310.9   331.2   353.6   380.0   418.3   497.8   668.9  1787.7  89844.2    90000  1744894759804  1744894765013
read      244.2   141.2    80.4   123.7   135.8   220.5   279.7   311.2   332.2   355.2   382.3   422.0   502.8   708.6  3360.4  95157.2    95000  1744894766516  1744894771715
read      247.0   174.0    80.4   126.2   138.8   222.7   279.9   310.9   331.8   355.0   382.8   423.1   506.1   745.0  7177.2  99869.2   100000  1744894773218  1744894778418
read      253.9   165.8    80.4   127.6   140.3   229.4   287.9   318.6   340.0   364.2   393.5   436.5   555.9   845.6  4914.3 104780.8   105000  1744894779921  1744894785124
read      261.6   164.9    80.4   130.8   144.4   236.7   293.8   324.5   346.0   371.1   402.7   457.2   612.7   922.2  4208.4 110035.2   110000  1744894786628  1744894791831
read      257.2   159.8    80.4   130.4   143.7   230.4   285.0   316.0   338.3   364.2   396.7   450.8   650.0   926.1  4250.5 115133.2   115000  1744894793335  1744894798539
read      308.3   218.4    80.4   140.0   156.5   270.7   333.5   369.3   397.0   432.8   488.9   615.0   895.7  1187.5  7215.3 120100.2   120000  1744894800042  1744894805243
read      279.1   215.6    80.4   137.7   152.5   249.8   304.8   336.3   359.5   387.8   426.0   495.9   729.2  1177.1  7348.5 124814.6   125000  1744894806746  1744894811946
read      305.8   193.4    80.4   144.7   162.0   270.4   329.7   365.5   393.7   429.7   482.1   582.8   871.5  1215.5  3968.4 129836.1   130000  1744894813449  1744894818648
read      328.7   210.5    80.4   154.9   175.8   298.5   357.5   392.9   420.5   456.3   507.2   606.0   844.9  1165.3  6050.1 134936.0   135000  1744894820152  1744894825353
read      356.6   210.8    80.4   158.9   181.9   319.1   388.9   433.8   469.2   512.4   571.1   672.6   954.1  1202.7  4531.1 139832.4   140000  1744894826856  1744894832056
read      375.0   235.5    86.8   169.2   195.5   339.7   411.0   455.3   489.1   531.7   589.5   690.7   930.9  1246.5  8333.7 142047.3   145000  1744894833559  1744894838761
read      453.8   226.7    93.8   233.8   263.7   421.7   512.1   556.3   586.7   622.3   667.8   743.8  1048.2  1349.9  7028.4 140581.3   150000  1744894840263  1744894845463
read      446.4   238.3    93.8   224.7   256.7   412.9   494.7   541.1   576.0   617.6   671.1   752.8  1004.7  1356.9  7032.4 141519.7   155000  1744894846966  1744894852167
read      388.5   197.9    80.4   198.1   225.4   370.5   433.4   466.0   490.0   518.0   556.4   635.5   866.4  1054.3  6474.4 155279.9   160000  1744894853670  1744894858871
read      439.7   225.5   101.3   232.5   260.0   413.8   503.8   544.2   571.9   602.1   639.5   700.8   911.2  1258.5  6646.2 146418.3   165000  1744894860374  1744894865576
read      432.4   233.1    86.8   217.7   247.4   402.3   473.4   519.8   555.2   599.8   656.8   736.2   909.3  1314.5  6064.1 147568.8   170000  1744894867079  1744894872279
read      423.2   207.5    93.8   220.2   245.9   410.6   481.0   514.1   537.8   566.1   602.9   674.5   901.0  1098.8  5621.6 152143.1   175000  1744894873782  1744894878984
read      443.3   193.7    86.8   231.0   259.8   418.8   502.5   542.7   571.2   603.3   643.9   719.7   949.4  1257.9  6509.9 145545.5   180000  1744894880487  1744894885688
read      455.8   259.8    93.8   236.9   266.3   423.1   514.8   560.3   590.7   626.5   671.6   743.7  1003.7  1342.0  8045.1 141744.3   185000  1744894887191  1744894892390
read      457.1   231.6    93.8   240.7   269.6   422.9   518.9   564.9   595.0   630.1   674.5   743.9   979.7  1310.7  7461.2 141380.1   190000  1744894893894  1744894899095
read      446.8   219.5    93.8   237.8   265.6   415.5   511.5   555.7   584.9   617.8   657.2   720.1   924.7  1192.4  4842.0 144576.0   195000  1744894900599  1744894905799
read      442.0   232.2    86.8   227.4   256.1   414.9   497.1   539.6   570.0   605.0   650.1   726.1   973.1  1276.6  7295.2 146092.1   200000  1744894907302  1744894912502
read      464.2   235.2    86.8   238.9   268.4   432.7   522.3   566.7   597.3   634.5   684.0   779.2  1052.5  1344.8  7153.6 139236.5   205000  1744894914005  1744894919205
