#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      242.1   271.0    93.8   164.1   177.1   231.7   257.4   270.0   278.7   289.4   302.4   323.0   374.4  1769.4  7847.7   4966.8     5000  1744893679848  1744893685123
read      250.0   154.2    86.8   157.5   175.7   247.1   273.6   287.4   296.2   308.4   321.1   344.1   395.5   508.0  6982.6   9983.4    10000  1744893686626  1744893691869
read      249.3    81.9    86.8   144.8   161.5   248.5   279.2   294.1   305.0   316.9   333.8   359.3   408.7   545.8  3523.1  14839.8    15000  1744893693372  1744893698578
read      262.7    98.5    80.4   140.7   156.8   264.7   298.9   316.3   328.7   342.3   360.9   388.5   442.4   514.5  2956.7  19952.8    20000  1744893700081  1744893705279
read      274.9    98.5    80.4   140.0   155.7   276.7   316.6   337.0   350.9   367.0   387.5   418.2   484.7   756.3  2022.4  24955.4    25000  1744893706783  1744893711980
read      274.8   111.0    86.8   135.9   150.6   274.5   320.2   342.9   358.8   375.7   398.0   430.6   495.6   596.8  2367.2  30097.2    30000  1744893713483  1744893718687
read      282.0   117.9    80.4   131.9   146.7   281.1   332.4   358.4   375.4   395.2   419.1   453.8   521.7   636.5  2940.9  34935.8    35000  1744893720190  1744893725392
read      279.4   133.6    80.4   130.1   145.0   273.9   329.0   356.8   374.8   395.6   420.8   457.7   534.2   696.3  3846.2  39977.6    40000  1744893726895  1744893732095
read      278.6   156.4    80.4   128.6   143.3   269.4   327.8   357.6   377.4   399.4   426.0   463.0   539.9   668.0  4042.0  44786.0    45000  1744893733598  1744893738806
read      286.3   151.7    80.4   128.7   143.2   272.2   336.4   370.0   392.5   417.2   446.8   491.1   582.4   795.3  5068.9  50217.8    50000  1744893740309  1744893745510
read      282.1   165.4    80.4   126.9   141.2   265.7   329.5   364.6   388.3   414.2   445.0   490.0   583.5   765.4  5150.3  55171.2    55000  1744893747014  1744893752216
read      286.5   148.5    80.4   126.4   140.3   267.1   334.2   371.8   397.7   426.2   460.3   508.8   628.8  1024.2  2564.7  60048.4    60000  1744893753719  1744893758922
read      290.1   211.6    80.4   128.8   143.6   265.4   333.8   372.9   399.5   429.5   465.6   519.7   645.8  1034.0  6199.7  64922.9    65000  1744893760425  1744893765629
read      297.1   180.3    80.4   129.6   144.4   266.0   337.2   378.8   407.4   440.1   479.6   544.3   768.5  1479.8  4234.1  70028.4    70000  1744893767132  1744893772333
read      348.4   302.5    80.4   136.1   152.8   284.8   366.9   417.2   453.9   499.4   570.5   755.7  1395.6  2139.7  8060.6  74866.0    75000  1744893773836  1744893779037
read      512.1   563.0    80.4   146.8   169.1   334.0   435.9   510.2   578.7   709.0  1296.1  1676.4  2717.0  5040.4  9176.5  79719.6    80000  1744893780540  1744893785747
read      508.7   543.9    80.4   146.2   169.4   336.0   442.0   517.5   591.0   755.9  1296.4  1633.0  2335.8  4312.0 14193.3  84807.3    85000  1744893787250  1744893792451
read      460.6   469.5    86.8   147.5   168.3   316.4   414.6   481.6   538.6   631.8   942.4  1513.8  2008.5  4090.0  8072.8  89623.6    90000  1744893793954  1744893799153
read      542.9   542.8    80.4   162.4   189.1   337.4   461.7   579.7   715.7   993.9  1381.9  1626.4  2358.3  4199.8  9659.2  94510.2    95000  1744893800657  1744893805859
read      636.0   648.8    86.8   184.2   211.5   348.2   484.9   787.5  1171.9  1398.6  1548.6  1736.4  2744.1  6730.6  9417.8  96027.2   100000  1744893807361  1744893812570
read      686.7   705.3    93.8   194.5   224.1   366.8   495.3   925.6  1352.2  1496.1  1630.0  1835.3  3171.5  7004.9 10020.7  94679.8   105000  1744893814074  1744893819280
