#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      728.8   767.9    93.8   197.3   221.6   392.6   519.2  1205.1  1422.6  1553.3  1682.7  1882.9  3425.4  7478.0 13991.1  90417.7   185000  1744894243306  1744894248509
read      717.0   728.4    86.8   194.0   223.6   379.3   543.4  1207.7  1413.7  1534.1  1663.2  1859.8  3312.4  7290.3  9579.8  91684.0   190000  1744894250012  1744894255220
read      695.4   719.7    93.8   188.5   217.1   363.7   499.4  1094.4  1396.7  1516.6  1643.7  1832.2  3277.1  7222.0 10774.5  94554.5   195000  1744894256723  1744894261924
read      706.6   739.0    86.8   189.3   217.4   372.0   494.9  1043.4  1400.0  1528.0  1660.9  1859.9  3387.2  7335.4 10451.6  93093.8   200000  1744894263427  1744894268631
read      729.3   726.5    86.8   197.2   228.2   381.9   564.0  1276.5  1434.3  1553.6  1683.2  1878.2  3252.5  7329.7  9395.0  90162.6   205000  1744894270133  1744894275336
read      707.3   738.6    86.8   192.6   222.3   368.6   525.9  1155.4  1406.3  1527.0  1655.8  1855.4  3294.8  7331.4 13709.7  92926.8   210000  1744894276839  1744894282041
read      684.1   726.3    86.8   189.0   217.7   363.3   462.1   886.6  1368.1  1494.3  1622.4  1813.4  3374.0  7210.2 11555.2  96030.5   215000  1744894283544  1744894288750
read      675.4   716.5    86.8   186.0   211.2   359.5   456.0   822.8  1365.2  1496.2  1622.2  1811.4  3363.9  7150.1  9980.7  97208.0   220000  1744894290252  1744894295453
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 82.17%,46.50%,100.00%
