#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      302.8   280.2    86.8   139.0   153.0   237.3   288.0   319.5   346.6   386.9   456.4   647.2  1704.8  2802.6  6347.6  29961.3    30000  1744293461655  1744293471816
read      240.5   160.6    80.4   136.9   149.2   214.8   250.9   272.9   289.7   310.4   339.2   390.7   589.0  2325.0  4899.4  30022.2    30005  1744293473330  1744293483464
read      234.9   164.1    86.8   136.0   147.8   209.4   244.2   265.7   281.8   301.5   328.5   374.2   563.2  2507.9  4990.7  30004.2    30010  1744293484979  1744293495081
read      252.7   546.9    74.4   135.8   149.7   219.5   256.8   279.5   296.0   316.3   343.6   394.0   565.5  2573.2 33015.3  30149.2    30015  1744293496596  1744293506703
read      246.2   168.8    80.4   138.2   150.8   218.8   256.1   278.6   295.2   316.2   345.5   401.9   680.8  2399.3  6111.9  29969.4    30020  1744293508219  1744293518324
read      241.5   167.6    80.4   136.5   148.4   213.5   250.9   273.7   291.6   313.3   342.7   397.2   634.6  2399.3  5054.2  29955.0    30025  1744293519838  1744293529946
read      266.9  1377.3    80.4   135.6   149.0   216.3   253.5   276.4   293.6   315.0   344.5   399.3   604.1  4926.4 52705.6  29940.4    30030  1744293531461  1744293541587
read      234.7    99.4    86.8   138.3   150.9   217.5   253.1   274.3   290.6   309.8   335.3   378.3   498.5   892.8  3183.6  30013.6    30035  1744293543102  1744293553211
read      243.8   150.0    86.8   138.8   151.3   220.1   258.2   280.5   296.4   316.2   342.8   390.5   598.9  2005.2  5128.5  30028.8    30040  1744293554725  1744293564826
read      244.6   151.0    80.4   135.8   148.4   214.0   252.6   277.5   296.8   321.1   358.5   425.5   699.4  2014.3  4627.9  30033.6    30045  1744293566339  1744293576447
read      261.7   549.4    86.8   138.6   151.0   220.9   261.0   284.7   302.1   323.5   354.1   406.7   638.9  4883.7 32243.2  30049.7    30050  1744293577964  1744293588063
read      231.5   106.9    80.4   135.1   148.7   215.2   250.2   270.6   285.6   303.3   327.3   369.2   492.7  1019.0  3686.7  30193.2    30055  1744293589576  1744293599678
read      248.9   201.1    80.4   138.6   151.2   220.0   258.9   282.4   299.9   321.6   356.4   423.0   663.9  2028.0  8679.1  30049.0    30060  1744293601195  1744293611359
read      235.1   115.2    80.4   133.5   146.5   214.9   253.2   275.6   293.1   313.8   340.8   388.3   528.9  1136.1  4168.8  30121.7    30065  1744293612877  1744293622984
read      244.8   170.3    80.4   137.0   149.9   216.2   253.2   275.6   293.7   316.1   347.5   413.4   694.1  2144.2  6071.2  30035.9    30070  1744293624498  1744293634609
read      249.1   190.0    80.4   134.1   147.1   214.3   253.8   278.7   297.9   322.2   359.7   433.9   791.3  2663.0  6129.8  30001.0    30075  1744293636125  1744293646231
read      236.1   150.8    86.8   134.4   146.8   211.2   248.6   271.4   289.0   310.3   338.8   388.0   543.4  2442.9  5114.5  30191.5    30080  1744293647744  1744293657850
read      238.3   124.8    80.4   133.0   147.1   216.5   256.3   280.3   297.2   318.7   347.3   397.1   541.2  1323.4  4228.5  30073.7    30085  1744293659364  1744293669464
read      243.2   120.1    86.8   137.9   151.1   221.7   261.8   285.2   302.2   322.9   351.2   398.9   554.5  1474.8  4145.9  30088.0    30090  1744293670978  1744293681082
read      237.0   104.9    80.4   137.0   150.2   219.5   257.6   279.5   295.5   314.9   340.5   382.3   497.4   963.3  3586.6  29970.2    30095  1744293682598  1744293692705
read      230.0   117.7    80.4   133.8   146.3   210.9   246.8   268.5   284.9   304.4   330.4   373.7   493.4  1056.0  4245.3  30135.8    30100  1744293694219  1744293704324
read      229.8    96.9    86.8   137.9   149.8   212.9   246.8   267.0   282.1   300.6   326.1   368.9   484.0   897.5  3121.8  29990.3    30105  1744293705840  1744293715941
read      240.2   123.5    80.4   134.8   149.4   216.9   254.1   277.0   295.0   316.5   346.2   401.8   590.2  1488.5  3642.1  30122.1    30110  1744293717454  1744293727557
read      246.7   130.8    86.8   138.4   152.1   223.0   261.7   284.7   302.1   323.4   355.3   414.3   621.0  1562.3  4357.3  30105.8    30115  1744293729071  1744293739175
read      262.2   202.3    80.4   138.3   151.0   224.4   267.1   292.6   312.7   338.6   377.0   460.0   917.1  2667.8  6040.9  30070.6    30120  1744293740690  1744293750793
read      240.8   143.6    80.4   138.3   150.5   214.5   251.2   273.9   291.7   313.6   343.7   397.6   611.0  2175.6  3767.9  30090.9    30125  1744293752306  1744293762407
read      274.8   545.1    86.8   138.4   151.4   227.3   272.0   298.3   317.9   343.5   381.9   460.0   821.7  4236.2 32525.9  29985.9    30130  1744293763920  1744293774025
read      333.6   345.3    86.8   141.5   155.7   245.3   298.4   339.2   377.6   439.9   549.4   764.9  2182.4  3578.9  5533.4  30144.4    30135  1744293775541  1744293785644
read      305.6   310.0    80.4   132.9   149.4   231.0   277.8   310.3   339.2   385.9   478.3   687.0  2002.0  3172.0  5667.7  30131.4    30140  1744293787159  1744293797271
read      234.1   122.3    74.4   131.9   145.2   213.3   250.9   272.2   288.6   308.3   335.5   386.7   561.3  1437.0  3856.3  30137.2    30145  1744293798790  1744293808894
read      238.3   121.1    86.8   137.5   150.1   216.2   252.3   273.7   290.5   311.3   340.6   398.3   585.5  1386.0  4227.6  30211.6    30150  1744293810411  1744293820514
read      254.0   180.4    86.8   135.6   148.2   216.3   256.3   281.6   301.3   327.4   368.5   465.9   895.1  2263.4  4803.5  30284.7    30155  1744293822028  1744293832135
read      249.7   153.7    80.4   136.5   149.8   218.8   259.8   285.2   304.0   327.9   364.2   438.4   729.5  1800.8  5177.8  30168.4    30160  1744293833649  1744293843751
read      240.0   119.4    80.4   135.8   149.3   220.5   260.4   283.4   300.5   320.4   346.9   394.2   517.6  1119.3  4686.0  30077.3    30165  1744293845264  1744293855378
read      236.0   111.4    80.4   137.5   150.0   217.5   254.3   274.9   290.8   309.7   335.6   383.7   518.6  1038.6  4441.2  30127.7    30170  1744293856895  1744293867006
read      240.0   123.7    80.4   136.7   149.6   218.1   255.5   277.3   294.2   314.8   343.3   397.6   586.4  1424.6  3950.2  30244.4    30175  1744293868520  1744293878624
read      234.2   107.6    80.4   138.7   151.5   218.6   253.3   272.8   287.8   305.7   329.9   369.6   471.9  1025.0  3734.9  30250.9    30180  1744293880137  1744293890240
read      240.8   133.9    80.4   135.4   149.4   220.7   258.3   279.7   295.4   315.3   341.8   390.4   547.8  1715.4  4746.4  30061.7    30185  1744293891754  1744293901873
read      231.9    98.9    80.4   138.7   150.6   214.9   250.3   270.3   285.4   303.4   327.9   369.9   482.8   992.7  3217.7  30148.9    30190  1744293903393  1744293913501
read      239.9   100.8    80.4   139.1   152.8   223.5   261.3   282.6   297.9   316.5   341.6   384.8   500.0   939.5  3188.5  30190.5    30195  1744293915015  1744293925120
read      251.2   154.3    80.4   139.6   152.5   225.7   266.1   288.8   306.1   327.6   357.6   410.7   676.9  1988.2  5074.1  30169.3    30200  1744293926634  1744293936741
read      242.7   150.3    86.8   138.8   150.6   216.6   256.1   278.8   295.9   317.7   346.5   397.8   586.4  2157.4  4894.5  30197.9    30205  1744293938259  1744293948362
read      265.6   835.5    86.8   138.6   150.9   219.5   260.2   284.4   302.6   325.2   357.6   415.7   657.4  3026.3 46114.1  30204.0    30210  1744293949875  1744293959983
read      256.2   130.7    80.4   140.2   153.6   231.7   274.7   299.1   317.6   341.0   373.8   435.8   652.1  1561.2  3486.8  30211.1    30215  1744293961497  1744293971600
read      252.8   135.1    80.4   139.9   153.3   228.6   269.6   292.9   310.5   332.4   364.6   426.0   642.3  1893.5  3637.4  30373.8    30220  1744293973114  1744293983224
read      242.1   108.6    86.8   140.4   153.3   223.9   261.0   281.7   296.7   316.6   343.4   392.6   542.4  1165.7  3283.2  30225.6    30225  1744293984737  1744293994839
