1745063956, [32.6, 29.3, 3.4, 3.5], 2.5
1745063957, [0.0, 0.0, 1.0, 0.0], 2.5
1745063958, [16.3, 21.6, 1.1, 4.3], 2.5
1745063959, [38.8, 45.6, 4.4, 3.5], 2.5
1745063960, [35.8, 45.5, 3.4, 4.6], 2.5
1745063961, [38.8, 48.4, 3.4, 5.8], 2.5
1745063962, [40.0, 47.3, 4.5, 2.4], 2.5
1745063963, [18.9, 24.5, 2.1, 2.2], 2.5
1745063964, [2.0, 1.0, 1.0, 0.0], 2.5
1745063965, [35.6, 33.3, 4.4, 2.2], 2.5
1745063966, [49.4, 48.4, 5.7, 3.3], 2.5
1745063967, [50.0, 48.3, 4.6, 1.1], 2.5
1745063968, [50.5, 47.1, 5.7, 3.4], 2.5
1745063969, [48.9, 48.4, 4.5, 1.1], 2.5
1745063970, [11.5, 11.3, 2.1, 0.0], 2.5
1745063971, [2.0, 2.0, 3.0, 1.0], 2.5
1745063972, [50.6, 54.9, 4.7, 4.7], 2.5
1745063973, [50.0, 52.8, 5.7, 4.7], 2.5
1745063974, [51.1, 56.8, 2.4, 3.6], 2.5
1745063975, [51.1, 54.8, 6.8, 3.5], 2.5
1745063976, [51.6, 52.7, 3.5, 5.8], 2.5
1745063977, [1.0, 0.0, 0.0, 0.0], 2.5
1745063978, [16.0, 20.4, 3.2, 1.1], 2.5
1745063979, [50.6, 59.6, 6.0, 6.2], 2.5
1745063980, [50.6, 58.2, 3.7, 3.7], 2.5
1745063981, [51.2, 57.8, 7.1, 7.2], 2.5
1745063982, [51.1, 58.1, 6.1, 8.3], 2.5
1745063983, [32.6, 40.0, 4.4, 4.5], 2.5
1745063984, [2.0, 0.0, 0.0, 0.0], 2.5
1745063985, [37.9, 37.6, 5.5, 3.5], 2.5
1745063986, [60.4, 58.9, 4.7, 6.2], 2.5
1745063987, [60.6, 59.8, 5.9, 10.7], 2.5
1745063988, [60.9, 58.9, 6.0, 5.0], 2.5
1745063989, [62.0, 58.9, 3.5, 6.2], 2.5
1745063990, [19.8, 20.6, 2.1, 2.2], 2.5
1745063991, [0.0, 1.0, 1.0, 1.0], 2.5
1745063992, [59.3, 61.3, 6.8, 6.0], 2.5
1745063993, [63.2, 67.3, 5.8, 6.1], 2.5
1745063994, [62.6, 68.8, 3.5, 6.0], 2.5
1745063995, [64.5, 67.4, 5.8, 6.0], 2.5
1745063996, [63.0, 67.4, 4.7, 7.2], 2.5
1745063997, [4.0, 4.0, 0.0, 2.0], 2.5
