#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      181.7    70.8    74.4   128.2   139.0   176.9   190.5   198.2   203.4   211.4   220.2   236.0   285.4   874.5  3113.8   4989.2     5000  1745062251738  1745062256993
read      197.5    59.0    86.8   127.6   142.1   195.1   213.1   222.9   230.1   238.0   250.0   268.6   308.9   688.2  1986.0  10019.6    10000  1745062258496  1745062263743
read      206.7    70.8    80.4   124.1   138.1   204.8   226.7   238.1   247.3   257.2   270.3   290.5   333.8   616.4  1961.6  14986.4    15000  1745062265247  1745062270447
read      216.8    87.9    80.4   121.2   133.9   215.3   241.3   255.1   265.4   275.9   291.0   313.3   363.0   734.4  2498.8  20114.0    20000  1745062271950  1745062277152
read      222.8    89.5    80.4   119.4   131.6   221.7   252.0   267.8   278.6   291.7   308.4   333.3   387.3   502.9  1727.7  24858.6    25000  1745062278656  1745062283863
read      249.6   130.4    74.4   121.9   135.8   241.9   281.0   301.5   315.9   333.7   356.8   395.4   527.5   962.7  3995.1  30028.4    30000  1745062285367  1745062290567
read      234.7    94.0    74.4   120.2   131.9   229.2   269.9   290.8   305.2   320.8   340.8   369.3   430.9   596.8  2348.8  34918.4    35000  1745062292070  1745062297272
read      240.6   106.2    80.4   118.0   129.6   232.7   276.1   298.9   315.1   333.3   355.3   388.4   458.7   955.9  2932.1  40202.4    40000  1745062298775  1745062303975
read      240.1   102.2    74.4   117.6   128.9   230.2   276.8   302.1   319.2   338.9   362.9   397.0   465.5   654.7  2141.2  45031.5    45000  1745062305479  1745062310679
read      248.8   121.9    74.4   117.2   129.1   237.0   287.4   315.2   334.8   356.8   382.8   421.1   499.5   665.3  2502.1  50030.8    50000  1745062312182  1745062317391
read      252.0   160.9    80.4   117.3   129.1   236.1   290.0   319.8   340.7   364.0   392.2   432.6   523.3   694.9  6715.9  55098.4    55000  1745062318894  1745062324094
read      260.5   144.0    74.4   116.5   129.1   242.1   299.4   333.1   356.4   382.1   413.3   459.3   575.2   856.6  5184.8  60097.8    60000  1745062325598  1745062330799
read      268.2   168.0    74.4   116.0   129.2   246.6   306.6   341.9   367.2   395.6   430.3   482.8   634.8  1021.9  4738.3  65041.6    65000  1745062332303  1745062337504
read      282.1   183.8    80.4   118.8   132.0   248.9   316.7   358.6   388.2   421.9   463.9   539.5   780.3  1209.5  4096.4  70021.0    70000  1745062339007  1745062344207
read      280.1   196.5    74.4   118.7   131.6   242.4   312.2   355.1   385.0   418.4   460.1   536.4   823.3  1543.7  4500.7  75062.8    75000  1745062345710  1745062350924
read      341.0   340.8    74.4   122.6   137.4   262.3   344.0   395.7   432.6   477.0   548.1   745.5  1707.7  3279.5  9687.9  79951.8    80000  1745062352428  1745062357628
read      402.0   419.3    74.4   128.8   145.8   281.2   373.1   433.4   482.5   554.5   699.3  1352.7  1924.3  3577.1  8104.6  85112.3    85000  1745062359131  1745062364332
read      440.2   474.5    80.4   133.5   151.5   291.8   398.9   475.9   542.7   643.1   891.1  1458.4  2000.6  3911.8 10307.1  89736.0    90000  1745062365836  1745062371041
read      593.0   637.4    74.4   162.1   188.6   331.5   449.7   622.5   914.4  1329.5  1507.0  1717.9  2946.4  5865.5  9245.5  94698.0    95000  1745062372544  1745062377747
read      697.7   714.7    80.4   188.5   213.0   379.3   525.8  1191.2  1400.4  1523.5  1645.2  1837.4  2926.5  7177.4 10032.5  92195.0   100000  1745062379250  1745062384457
read      734.1   757.6    86.8   198.0   222.1   400.0   552.3  1290.4  1445.3  1566.3  1688.6  1872.3  3306.6  7410.5 13250.8  89406.3   105000  1745062385960  1745062391158
read      714.1   760.1    86.8   188.3   211.6   381.0   518.1  1055.9  1401.7  1533.6  1667.4  1873.9  3455.0  7380.9 12787.4  92026.0   110000  1745062392662  1745062397863
read      653.8   720.3    86.8   175.3   199.2   343.2   444.2   707.2  1323.1  1464.5  1594.8  1786.0  3334.1  7070.5  9923.7 100210.0   115000  1745062399367  1745062404570
read      683.4   734.4    86.8   182.8   204.7   368.4   471.3   867.7  1373.7  1505.6  1630.4  1833.5  3372.8  7404.0 12015.3  96236.3   120000  1745062406073  1745062411275
read      730.1   765.3    86.8   196.8   220.1   397.9   533.7  1212.9  1420.7  1548.2  1678.2  1885.5  3465.5  7489.8 10035.9  90291.0   125000  1745062412778  1745062417979
read      680.2   780.2    86.8   180.8   203.8   363.2   457.1   683.8  1341.5  1488.6  1625.5  1855.1  3445.9  7492.0 12273.4  96830.2   130000  1745062419482  1745062424682
read      676.7   723.0    86.8   181.3   204.3   365.0   470.8   826.5  1362.1  1504.0  1623.3  1806.2  3370.0  7245.5 10657.2  97130.2   135000  1745062426185  1745062431388
read      702.5   749.1    86.8   186.4   210.1   373.8   500.2   993.5  1392.9  1525.2  1655.9  1860.2  3405.7  7507.6 10203.4  93829.3   140000  1745062432891  1745062438092
read      757.6   771.2    86.8   202.3   226.5   409.7   602.3  1319.1  1467.6  1581.3  1710.5  1913.0  3400.8  7462.0 10230.7  86997.8   145000  1745062439596  1745062444801
read      709.6   750.6    80.4   188.6   211.6   378.0   516.8  1089.0  1399.4  1524.7  1657.1  1865.7  3443.7  7367.7 10209.3  92832.2   150000  1745062446304  1745062451505
read      692.3   721.3    86.8   185.9   213.1   360.9   521.7  1065.4  1384.0  1500.9  1637.1  1852.7  3261.7  7195.8  9830.5  94925.0   155000  1745062453008  1745062458213
read      654.2   736.2    86.8   174.5   197.6   344.6   436.7   676.6  1326.0  1464.3  1590.2  1773.7  3369.8  7195.0 10502.9 100516.4   160000  1745062459716  1745062464917
read      684.2   737.5    86.8   182.8   205.6   371.7   470.4   851.0  1368.0  1500.2  1622.7  1817.1  3402.5  7378.8 10173.7  96147.0   165000  1745062466421  1745062471621
read      708.0   749.6    86.8   191.7   213.8   388.9   503.4  1120.2  1402.8  1535.5  1655.2  1847.1  3420.3  7425.3 10107.5  93024.2   170000  1745062473124  1745062478325
read      737.5   770.2    86.8   199.1   221.1   404.3   541.4  1244.9  1435.1  1560.0  1691.4  1907.4  3452.1  7463.3 12253.3  89384.9   175000  1745062479827  1745062485029
read      704.9   737.1    86.8   188.4   209.6   383.4   502.8  1071.1  1393.7  1524.1  1648.6  1849.3  3455.1  7341.2  9820.8  93346.0   180000  1745062486533  1745062491737
read      696.6   730.8    80.4   182.8   205.6   373.5   507.7  1189.2  1402.0  1520.4  1638.4  1816.3  3299.4  7318.1 14795.8  94405.0   185000  1745062493240  1745062498446
read      720.3   757.9    86.8   186.4   210.7   379.5   535.3  1147.7  1408.8  1531.6  1669.1  1885.0  3441.3  7465.7 12266.7  91499.1   190000  1745062499949  1745062505153
read      683.1   723.9    80.4   184.4   209.2   364.0   482.8   893.0  1374.6  1511.6  1631.2  1809.0  3368.8  7294.1 10546.6  96273.4   195000  1745062506656  1745062511857
read      645.9   724.4    68.9   170.2   194.3   333.0   433.5   674.1  1318.2  1457.2  1588.5  1776.1  3340.1  7260.9 15073.3 101834.8   200000  1745062513360  1745062518564
read      699.3   740.0    80.4   185.0   208.2   371.3   500.9  1031.7  1391.3  1514.4  1644.3  1846.2  3456.9  7388.5  9840.3  94258.0   205000  1745062520067  1745062525267
read      688.9   739.1    86.8   181.5   209.1   360.2   488.6   841.1  1372.0  1502.6  1629.7  1844.5  3418.6  7375.3 10005.8  95574.4   210000  1745062526770  1745062531979
read      672.2   739.1    80.4   183.8   206.5   358.9   469.6   779.4  1354.6  1490.8  1613.6  1805.2  3412.7  7232.0 11971.9  97839.0   215000  1745062533482  1745062538687
read      655.4   690.7    80.4   176.3   201.7   344.5   450.4   805.4  1353.1  1477.4  1601.4  1767.2  3244.9  6719.7 10086.3 100098.8   220000  1745062540190  1745062545395
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 81.50%,44.50%,100.00%
