#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      184.0    91.2    86.8   127.3   138.7   179.6   192.6   199.6   205.1   212.6   221.6   235.6   282.2   932.8  4842.8   5013.6     5000  1745063864623  1745063869879
read      189.5    84.3    80.4   126.8   138.9   187.5   201.2   209.5   215.0   221.8   231.3   246.5   285.0   787.8  2996.6   9967.8    10000  1745063871383  1745063876619
read      197.9    81.3    80.4   125.1   137.1   197.1   213.5   222.4   228.9   235.4   246.7   262.7   297.4   791.7  2937.9  14952.3    15000  1745063878121  1745063883321
read      202.6    65.3    80.4   123.6   135.0   204.6   222.9   232.1   238.9   247.8   258.0   274.1   313.6   551.5  1886.8  19966.8    20000  1745063884824  1745063890024
read      208.3    70.0    74.4   121.5   132.5   211.1   232.1   243.4   251.2   260.7   271.9   290.4   328.2   469.3  2245.1  24905.6    25000  1745063891527  1745063896729
read      212.7    91.2    74.4   119.7   130.7   216.5   239.4   251.2   259.7   269.2   281.2   298.3   340.7   750.1  2992.2  30039.2    30000  1745063898232  1745063903432
read      213.4    80.7    80.4   120.0   130.4   216.6   243.3   256.2   265.5   274.7   288.6   308.0   345.9   508.3  3988.9  35096.8    35000  1745063904935  1745063910135
read      213.2    81.7    80.4   117.2   127.5   216.0   245.8   260.0   269.3   280.0   293.3   314.1   356.1   462.4  2804.6  40068.0    40000  1745063911638  1745063916839
read      214.9    81.2    74.4   117.0   127.1   217.1   249.5   264.7   274.3   286.2   299.2   319.3   364.8   468.9  1924.4  44940.1    45000  1745063918342  1745063923544
read      215.8    86.1    80.4   118.7   128.6   214.3   250.6   267.1   277.8   290.4   305.7   327.9   374.1   480.2  2202.5  49876.6    50000  1745063925047  1745063930246
read      215.0    91.4    80.4   116.7   126.6   209.8   250.4   268.6   280.6   293.6   310.3   334.5   384.3   480.2  2836.4  55281.5    55000  1745063931749  1745063936957
read      218.8   100.6    74.4   116.9   127.2   212.5   255.9   274.9   287.9   301.8   317.9   342.7   396.5   507.2  2627.6  59977.9    60000  1745063938460  1745063943660
read      220.7   118.3    74.4   115.0   125.6   210.9   257.6   279.0   292.8   308.3   326.4   353.7   407.3   549.6  3385.8  64989.2    65000  1745063945162  1745063950366
read      217.9   114.0    80.4   115.8   126.2   205.2   252.4   274.9   289.6   305.8   324.2   351.8   410.0   546.3  2276.9  70112.6    70000  1745063951869  1745063957069
read      219.2   122.1    74.4   114.8   125.2   205.3   253.7   277.2   292.7   309.6   329.4   358.1   416.5   528.2  3448.3  74952.4    75000  1745063958571  1745063963771
read      221.1   130.3    74.4   114.3   125.3   206.4   255.1   279.4   295.3   312.6   333.1   362.6   423.7   619.9  3792.4  80367.0    80000  1745063965274  1745063970485
read      221.6   142.2    80.4   117.0   128.0   204.5   252.8   278.4   295.1   313.5   335.3   366.4   433.1   628.0  2617.0  85003.2    85000  1745063971988  1745063977188
read      218.4   128.1    74.4   117.1   127.9   199.8   245.7   271.8   289.7   309.2   332.3   365.1   431.7   640.3  2991.5  90022.6    90000  1745063978691  1745063983890
read      219.3   138.5    74.4   116.0   127.1   200.1   246.1   272.6   290.7   310.6   334.3   367.5   435.0   692.0  4247.4  95173.3    95000  1745063985393  1745063990591
read      219.4   105.3    80.4   116.4   127.7   201.5   247.4   273.6   291.8   311.8   335.7   369.3   435.5   613.7  1463.7 100031.6   100000  1745063992094  1745063997293
read      227.7   159.0    80.4   119.1   130.7   207.5   253.6   280.3   298.8   319.7   345.3   385.8   477.6   785.7  4310.0 104972.7   105000  1745063998795  1745064003997
read      227.1   182.5    80.4   119.5   131.7   207.8   251.9   277.9   296.5   317.7   343.7   382.6   465.3   736.5  4043.5 109866.6   110000  1745064005499  1745064010707
read      238.5   169.6    74.4   122.6   135.7   218.1   265.1   291.8   311.1   333.4   362.0   406.1   538.2   832.0  2720.2 114955.1   115000  1745064012210  1745064017410
read      257.9   177.6    74.4   125.6   139.7   229.3   279.6   309.1   330.7   357.3   394.3   469.4   721.6  1041.1  6088.3 119809.0   120000  1745064018913  1745064024114
read      261.2   189.0    74.4   126.4   140.3   229.0   280.3   311.0   334.2   363.5   404.0   493.4   773.7   991.3  4632.9 125283.8   125000  1745064025617  1745064030820
read      269.9   166.5    68.9   130.7   145.8   240.8   292.8   323.3   346.5   376.6   419.2   494.4   762.7  1018.7  4447.2 130016.2   130000  1745064032323  1745064037526
read      325.6   210.1    80.4   142.7   161.7   282.1   347.9   391.2   424.3   465.0   525.5   686.7   947.0  1168.8  6297.5 134837.0   135000  1745064039028  1745064044236
read      342.4   223.2    80.4   152.5   174.7   305.6   371.6   412.5   444.7   487.5   549.7   672.4   903.6  1152.1  5551.5 139618.2   140000  1745064045739  1745064050939
read      366.0   213.8    80.4   161.4   186.1   324.6   401.0   448.6   482.8   524.1   581.0   694.4   975.9  1282.1  6592.1 141917.1   145000  1745064052442  1745064057646
read      392.1   235.2    86.8   174.9   203.5   354.9   439.6   484.4   516.2   554.4   611.1   730.1   964.4  1177.4  7042.5 146456.5   150000  1745064059148  1745064064349
read      392.8   202.4    80.4   195.2   223.2   371.0   441.9   477.1   502.5   533.3   573.9   644.8   893.8  1134.0  6162.6 152472.6   155000  1745064065852  1745064071054
read      415.1   235.7    86.8   203.0   234.2   376.6   451.0   504.8   547.6   596.6   652.2   727.6   892.9  1182.0  4843.9 148016.6   160000  1745064072557  1745064077765
read      414.4   201.9    86.8   208.3   238.7   381.1   451.7   499.2   537.1   582.4   637.6   721.1   865.3  1178.9  6667.0 150461.0   165000  1745064079268  1745064084467
read      407.6   213.2    80.4   196.3   226.0   372.8   450.0   498.2   533.9   576.2   629.0   709.7   936.7  1177.7  6924.2 151664.4   170000  1745064085971  1745064091172
read      439.0   227.3    86.8   230.5   258.8   400.3   498.6   547.4   580.4   616.7   659.9   723.8   925.7  1245.1  5396.9 146861.1   175000  1745064092675  1745064097878
read      427.2   217.3    80.4   223.0   248.0   403.5   491.4   529.4   554.0   583.4   622.1   689.6   914.2  1187.7  6673.7 150837.8   180000  1745064099381  1745064104591
read      432.0   217.7    86.8   227.0   252.9   408.1   497.1   534.9   560.0   588.1   626.9   696.1   923.8  1146.7  6275.6 149424.9   185000  1745064106094  1745064111303
read      439.5   218.2    93.8   209.9   242.7   396.6   462.5   517.3   575.7   644.0   708.4   785.8   991.7  1450.9  6726.8 146300.8   190000  1745064112806  1745064118011
read      428.5   215.5    86.8   225.8   254.4   399.3   483.5   527.6   557.4   591.2   634.3   699.6   857.6  1092.8  7522.1 150606.3   195000  1745064119515  1745064124726
read      418.8   195.0    86.8   218.3   242.5   396.8   481.9   521.4   547.3   579.0   618.3   679.0   851.6  1089.5  5583.0 154031.1   200000  1745064126229  1745064131429
read      445.0   206.8    86.8   221.8   252.5   410.1   484.0   534.9   577.8   631.5   694.7   776.6   936.2  1272.3  6475.5 145106.2   205000  1745064132932  1745064138137
read      441.3   244.3    86.8   230.2   257.2   408.2   497.2   540.8   571.1   605.5   650.6   741.6   936.7  1475.7  8224.8 146473.5   210000  1745064139640  1745064144861
read      425.9   204.3    86.8   217.5   244.8   395.4   473.0   522.0   557.7   598.8   647.5   715.7   858.7  1225.9  4729.4 151585.1   215000  1745064146364  1745064151566
read      445.6   239.7    86.8   224.4   253.1   408.6   498.8   547.6   582.8   624.2   676.9   755.3  1020.8  1419.9  6219.9 145132.1   220000  1745064153069  1745064158272
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 81.33%,44.00%,100.00%
