#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      183.9    90.8    86.8   126.2   137.7   178.8   193.2   201.0   207.8   215.3   225.9   242.5   285.4   947.0  4022.3   4981.2     5000  1745062574022  1745062579276
read      198.8    96.7    80.4   126.1   139.9   194.4   212.6   222.7   230.0   238.0   250.2   269.2   315.1   942.9  4071.1  10006.6    10000  1745062580779  1745062586020
read      211.2    62.3    86.8   125.4   139.0   210.0   231.8   244.1   252.5   263.2   274.8   295.4   341.6   695.7  2288.9  14987.2    15000  1745062587523  1745062592725
read      222.4    74.9    80.4   121.9   134.7   221.7   248.9   263.6   273.2   285.8   300.5   324.7   375.4   704.1  1945.0  20086.6    20000  1745062594228  1745062599428
read      222.5    89.9    80.4   119.3   130.8   220.5   251.2   267.1   277.7   290.9   307.4   332.3   387.5   720.0  3171.8  25025.2    25000  1745062600931  1745062606129
read      231.2    91.5    74.4   119.9   131.5   228.2   264.1   282.5   295.0   310.1   328.2   356.1   416.3   618.8  2126.7  29861.3    30000  1745062607632  1745062612836
read      237.8   113.0    80.4   118.6   130.3   231.8   272.8   293.8   308.5   324.4   344.3   374.3   438.5   649.1  4157.2  34949.3    35000  1745062614339  1745062619541
read      244.6   101.7    74.4   117.8   130.0   238.0   283.2   307.2   323.1   341.5   364.1   397.1   464.7   622.5  2198.4  40101.4    40000  1745062621044  1745062626249
read      246.7   107.2    74.4   117.6   129.5   237.8   287.0   312.8   330.6   350.1   373.5   407.6   473.1   616.6  1896.9  44984.8    45000  1745062627753  1745062632955
read      254.8   117.9    74.4   118.2   130.7   242.9   294.9   323.0   343.1   365.8   393.1   432.0   519.8   729.0  1945.4  50059.4    50000  1745062634458  1745062639656
read      258.0   177.1    74.4   116.9   129.3   240.5   296.5   327.7   349.2   373.2   402.9   448.1   556.1   833.2  9599.9  55159.2    55000  1745062641160  1745062646361
read      259.3   162.4    80.4   116.4   129.0   240.1   298.2   331.2   353.8   379.0   409.7   456.8   570.4   792.7  4940.1  59989.3    60000  1745062647864  1745062653066
read      269.1   158.6    74.4   116.3   129.6   246.9   309.4   344.9   369.9   398.1   432.2   486.3   630.0   902.4  5281.4  65030.0    65000  1745062654569  1745062659766
read      275.3   165.1    74.4   117.0   130.1   240.5   309.0   349.7   378.4   411.3   453.5   529.6   752.0  1506.9  4131.0  70349.5    70000  1745062661269  1745062666479
read      289.3   214.1    74.4   119.2   132.6   247.7   318.6   361.6   391.5   425.2   466.7   545.7   957.0  1999.5  6033.7  75144.6    75000  1745062667983  1745062673182
read      317.9   288.6    74.4   120.5   134.7   253.5   334.3   383.1   416.1   454.6   508.2   625.6  1592.3  2513.8  7432.6  79889.1    80000  1745062674686  1745062679883
read      407.2   483.5    74.4   127.1   143.7   282.0   373.3   431.8   477.3   541.2   653.4  1411.5  2142.8  3837.6  8291.1  84265.2    85000  1745062681386  1745062686585
read      417.3   517.7    80.4   128.6   145.5   282.4   371.9   433.5   482.7   550.3   669.4  1346.5  3293.1  4176.1  8798.6  89858.5    90000  1745062688088  1745062693285
read      370.7   329.9    80.4   131.4   147.8   265.3   365.8   448.0   509.0   585.5   691.6   921.7  1615.0  2789.2  7510.0  95014.6    95000  1745062694788  1745062699996
read      698.3   741.3    86.8   187.6   211.3   376.1   512.4   941.5  1374.5  1521.7  1655.9  1869.2  3326.4  7326.9 11079.6  91927.6   100000  1745062701498  1745062706699
read      696.1   735.1    86.8   187.2   210.9   371.2   504.8  1040.7  1392.9  1520.7  1650.2  1853.5  3294.7  7248.4 10237.2  93458.8   105000  1745062708202  1745062713400
read      657.1   721.8    86.8   177.4   200.4   352.1   447.9   729.6  1337.8  1475.7  1600.2  1786.3  3265.4  7210.0  9850.5  98958.8   110000  1745062714903  1745062720102
