1745063298, [10.1, 11.2, 2.1, 1.1], 2.5
1745063299, [0.0, 1.0, 1.0, 2.0], 2.5
1745063300, [27.6, 28.4, 3.3, 3.3], 2.5
1745063301, [34.1, 33.7, 6.5, 1.1], 2.5
1745063302, [33.7, 35.7, 3.4, 2.3], 2.5
1745063303, [32.5, 35.7, 4.4, 1.1], 2.5
1745063304, [33.3, 33.7, 5.5, 3.3], 2.5
1745063305, [5.2, 6.2, 0.0, 1.0], 2.5
1745063306, [3.1, 4.1, 2.0, 0.0], 2.5
1745063307, [41.9, 39.1, 5.6, 1.1], 2.5
1745063308, [41.6, 38.1, 5.6, 2.2], 2.5
1745063309, [38.8, 37.3, 3.4, 3.4], 2.5
1745063310, [40.7, 37.8, 2.3, 2.3], 2.5
1745063311, [32.1, 33.7, 4.3, 2.2], 2.5
1745063312, [0.0, 0.0, 0.0, 2.0], 2.5
1745063313, [15.8, 16.8, 1.1, 2.1], 2.5
1745063314, [41.7, 42.4, 5.8, 2.3], 2.5
1745063315, [39.3, 39.3, 5.7, 4.4], 2.5
1745063316, [43.0, 41.7, 3.5, 2.3], 2.5
1745063317, [41.7, 39.8, 4.7, 2.3], 2.5
1745063318, [23.9, 23.9, 2.2, 5.3], 2.5
1745063319, [0.0, 1.0, 0.0, 0.0], 2.5
1745063320, [32.6, 32.6, 1.1, 4.4], 2.5
1745063321, [48.9, 50.0, 3.3, 5.9], 2.5
1745063322, [46.5, 46.5, 4.4, 5.8], 2.5
1745063323, [48.3, 48.8, 2.2, 4.7], 2.5
1745063324, [50.0, 50.0, 7.4, 6.0], 2.5
1745063325, [14.4, 13.5, 0.0, 3.1], 2.5
1745063326, [2.9, 2.0, 1.0, 1.0], 2.5
1745063327, [55.6, 51.7, 4.6, 7.0], 2.5
1745063328, [52.3, 55.6, 5.6, 4.7], 2.5
1745063329, [56.0, 54.8, 2.3, 3.5], 2.5
1745063330, [55.6, 53.3, 4.5, 5.8], 2.5
1745063331, [51.7, 51.7, 3.4, 3.5], 2.5
1745063332, [2.0, 0.0, 1.0, 1.0], 2.5
1745063333, [17.5, 20.2, 1.1, 2.1], 2.5
1745063334, [54.0, 57.3, 3.5, 8.2], 2.5
1745063335, [55.6, 58.4, 6.9, 6.0], 2.5
1745063336, [58.4, 60.4, 5.9, 7.2], 2.5
1745063337, [55.7, 61.3, 6.9, 3.7], 2.5
1745063338, [37.6, 39.8, 5.5, 4.5], 2.5
1745063339, [0.0, 0.0, 1.0, 1.0], 2.5
1745063340, [36.6, 39.4, 4.5, 1.1], 2.5
1745063341, [63.4, 66.7, 7.3, 3.5], 2.5
1745063342, [63.0, 62.4, 9.8, 2.4], 2.5
1745063343, [63.8, 66.0, 6.2, 4.7], 2.5
1745063344, [59.1, 64.8, 7.3, 3.5], 2.5
1745063345, [20.0, 22.7, 2.2, 1.1], 2.5
1745063346, [1.0, 1.0, 1.0, 0.0], 2.5
1745063347, [62.1, 62.1, 7.0, 5.6], 2.5
1745063348, [67.4, 67.7, 7.1, 2.3], 2.5
1745063349, [66.3, 72.9, 3.6, 3.4], 2.5
1745063350, [67.7, 69.8, 8.1, 5.6], 2.5
1745063351, [67.0, 68.1, 9.2, 2.3], 2.5
1745063352, [8.0, 8.0, 0.0, 2.0], 2.5
1745063353, [13.1, 13.1, 3.1, 0.0], 2.5
1745063354, [67.4, 66.7, 11.1, 6.0], 2.5
1745063355, [71.4, 70.2, 8.6, 4.8], 2.5
1745063356, [72.0, 74.2, 11.2, 4.9], 2.5
1745063357, [73.7, 69.6, 7.6, 9.5], 2.5
1745063358, [56.1, 51.6, 6.0, 3.5], 2.5
1745063359, [0.0, 0.0, 0.0, 2.0], 2.5
1745063360, [37.8, 36.7, 4.3, 3.3], 2.5
1745063361, [77.1, 78.4, 8.2, 3.6], 2.5
1745063362, [73.1, 77.7, 8.2, 4.8], 2.5
1745063363, [74.0, 76.5, 8.1, 3.6], 2.5
1745063364, [72.9, 76.3, 4.9, 3.6], 2.5
1745063365, [36.4, 37.0, 6.4, 2.2], 2.5
1745063366, [0.0, 0.0, 1.0, 0.0], 2.5
1745063367, [62.5, 62.9, 3.4, 4.6], 2.5
1745063368, [78.7, 86.3, 6.0, 3.6], 2.5
1745063369, [75.8, 78.6, 4.7, 3.6], 2.5
1745063370, [80.4, 80.0, 5.8, 4.7], 2.5
1745063371, [77.6, 83.8, 5.9, 5.8], 2.5
1745063372, [16.0, 17.6, 3.1, 1.0], 2.5
1745063373, [9.0, 9.1, 1.0, 1.0], 2.5
1745063374, [83.5, 85.0, 10.7, 7.3], 2.5
1745063375, [81.8, 85.7, 7.4, 4.9], 2.5
1745063376, [82.5, 81.3, 3.8, 7.3], 2.5
1745063377, [81.8, 81.8, 8.5, 8.4], 2.5
1745063378, [72.9, 76.5, 6.0, 4.8], 2.5
1745063379, [0.0, 0.0, 1.0, 1.0], 2.5
1745063380, [32.3, 34.7, 3.3, 3.2], 2.5
1745063381, [84.2, 88.8, 9.9, 2.3], 2.5
1745063382, [86.9, 88.1, 7.6, 5.7], 2.5
1745063383, [85.6, 87.6, 8.9, 4.5], 2.5
1745063384, [86.6, 82.7, 10.1, 2.3], 2.5
1745063385, [55.1, 54.1, 5.7, 5.3], 2.5
1745063386, [1.0, 0.0, 2.0, 1.0], 2.5
1745063387, [62.7, 56.4, 9.4, 4.4], 2.5
1745063388, [96.0, 88.7, 12.7, 6.8], 2.5
1745063389, [90.9, 88.9, 12.7, 3.6], 2.5
1745063390, [97.0, 88.3, 15.0, 4.7], 2.5
1745063391, [92.2, 83.0, 11.4, 5.7], 2.6
1745063392, [29.0, 26.0, 5.3, 2.1], 2.5
1745063393, [0.0, 0.0, 1.0, 0.0], 2.5
1745063394, [91.0, 87.9, 9.2, 4.9], 2.5
1745063395, [93.1, 91.8, 12.8, 7.3], 2.5
1745063396, [94.1, 89.7, 13.7, 4.9], 2.6
1745063397, [95.0, 88.8, 12.8, 7.3], 2.6
1745063398, [94.1, 91.8, 10.5, 9.4], 2.6
1745063399, [2.0, 2.0, 1.0, 1.0], 2.5
1745063400, [24.2, 27.7, 3.2, 3.3], 2.5
1745063401, [88.7, 98.0, 10.3, 21.5], 2.5
1745063402, [91.0, 93.1, 6.6, 14.5], 2.6
1745063403, [90.6, 98.0, 10.3, 22.5], 2.5
1745063404, [90.9, 98.0, 15.2, 20.8], 2.6
1745063405, [69.4, 66.0, 4.9, 9.5], 2.5
1745063406, [1.0, 0.0, 1.0, 0.0], 2.5
1745063407, [58.0, 57.4, 6.5, 9.1], 2.6
1745063408, [96.0, 94.1, 9.2, 7.8], 2.6
1745063409, [97.0, 99.0, 8.0, 12.5], 2.6
1745063410, [97.0, 100.0, 6.9, 13.9], 2.6
1745063411, [100.0, 96.0, 7.0, 5.2], 2.6
1745063412, [41.4, 39.0, 2.2, 4.3], 2.5
1745063413, [1.0, 1.0, 0.0, 2.0], 2.5
1745063414, [82.7, 87.9, 5.1, 6.1], 2.6
1745063415, [97.0, 100.0, 16.9, 13.6], 2.6
1745063416, [98.0, 100.0, 11.5, 10.0], 2.6
1745063417, [96.9, 99.0, 10.3, 11.1], 2.6
1745063418, [100.0, 100.0, 11.5, 14.3], 2.6
1745063419, [12.9, 12.0, 2.1, 0.0], 2.5
1745063420, [16.2, 18.0, 3.1, 3.2], 2.6
1745063421, [90.8, 100.0, 9.6, 14.1], 2.6
1745063422, [92.8, 100.0, 7.4, 10.5], 2.6
1745063423, [97.0, 100.0, 10.8, 9.3], 2.6
1745063424, [95.0, 100.0, 11.0, 17.5], 2.6
1745063425, [78.8, 82.0, 6.0, 14.3], 2.6
1745063426, [0.0, 0.0, 0.0, 1.0], 2.6
1745063427, [48.5, 48.0, 6.5, 10.6], 2.6
1745063428, [100.0, 99.0, 8.5, 7.7], 2.6
1745063429, [100.0, 100.0, 8.3, 8.9], 2.6
1745063430, [100.0, 100.0, 7.3, 10.3], 2.6
1745063431, [100.0, 100.0, 6.0, 13.4], 2.6
1745063432, [52.5, 52.0, 3.3, 7.7], 2.6
1745063433, [0.0, 0.0, 0.0, 2.0], 2.5
1745063434, [78.0, 73.7, 11.4, 5.7], 2.6
1745063435, [100.0, 95.0, 17.1, 7.0], 2.6
1745063436, [100.0, 95.0, 21.8, 8.1], 2.6
1745063437, [100.0, 95.9, 21.8, 3.6], 2.6
1745063438, [100.0, 93.9, 14.1, 5.9], 2.6
1745063439, [22.0, 22.0, 4.2, 2.1], 2.6
1745063440, [8.0, 9.0, 0.0, 0.0], 2.6
1745063441, [100.0, 100.0, 12.7, 6.2], 2.6
