workload,interference,repetition,execution_time,timestamp
vips,membw,1,120.231,20250326-052419
vips,membw,2,120.043,20250326-060055
vips,membw,3,120.233,20250326-060645
dedup,none,1,17.427,20250326-061557
dedup,none,2,17.268,20250326-061658
dedup,none,3,17.321,20250326-061832
dedup,cpu,1,24.611,20250326-062657
dedup,cpu,2,25.422,20250326-063114
dedup,cpu,3,25.381,20250326-063531
dedup,l1d,1,20.927,20250326-064614
dedup,l1d,2,20.745,20250326-065025
dedup,l1d,3,20.867,20250326-065437
