timestamp,memcached_cores_usage
1746535355,2
1746535357,2
1746535359,2
1746535361,1
1746535369,1
1746535371,2
1746535373,2
1746535375,1
1746535377,2
1746535379,2
1746535381,1
1746535383,1
1746535385,1
1746535387,1
1746535389,2
1746535392,2
1746535394,2
1746535396,2
1746535398,2
1746535400,2
1746535402,2
1746535404,2
1746535406,2
1746535408,2
1746535410,2
1746535412,1
1746535414,2
1746535416,2
1746535418,1
1746535421,2
1746535423,2
1746535425,2
1746535427,2
1746535429,2
1746535431,1
1746535433,1
1746535435,1
1746535437,1
1746535439,1
1746535441,1
1746535443,1
1746535445,1
1746535447,1
1746535450,2
1746535452,2
1746535454,2
1746535456,2
1746535458,2
1746535460,2
1746535462,1
1746535464,1
1746535466,1
1746535468,1
1746535470,2
1746535472,2
1746535474,1
1746535477,1
1746535479,2
1746535481,2
1746535483,1
1746535485,1
1746535487,1
1746535489,1
1746535491,1
1746535493,1
1746535495,1
1746535497,1
1746535499,1
1746535502,1
1746535504,1
1746535506,1
1746535508,1
1746535510,1
1746535512,1
1746535514,1
1746535516,1
1746535518,1
1746535520,2
1746535522,2
1746535524,1
1746535526,2
1746535529,2
1746535531,2
1746535533,2
1746535535,2
1746535537,2
1746535539,2
1746535542,2
1746535544,1
1746535546,2
1746535548,2
1746535550,2
1746535553,2
1746535555,2
1746535557,2
1746535559,2
1746535561,2
1746535563,1
1746535565,2
1746535567,2
1746535569,2
1746535571,2
1746535573,2
1746535575,2
1746535577,2
1746535580,2
1746535582,2
1746535584,2
1746535586,2
1746535588,2
1746535590,2
1746535592,1
1746535594,1
1746535596,1
1746535598,1
1746535600,2
1746535602,2
1746535604,2
1746535607,2
1746535609,2
1746535611,2
1746535613,2
1746535615,2
1746535617,2
1746535619,2
1746535621,2
1746535623,2
1746535625,2
1746535627,2
1746535629,2
1746535631,2
1746535633,2
1746535636,2
1746535638,2
1746535640,2
1746535642,2
1746535644,2
1746535646,2
1746535648,2
1746535650,2
1746535652,1
1746535654,2
1746535657,2
1746535659,1
1746535661,2
1746535663,2
1746535665,1
1746535667,2
1746535669,2
1746535671,2
1746535674,1
1746535676,2
1746535678,2
1746535680,1
1746535682,1
1746535684,1
1746535686,1
1746535688,1
1746535690,1
1746535692,1
1746535694,1
1746535697,1
1746535699,1
1746535701,1
1746535703,1
1746535705,1
1746535707,1
1746535709,1
1746535711,2
1746535713,2
1746535715,1
1746535717,2
1746535720,2
1746535722,1
1746535724,2
1746535726,2
1746535728,1
1746535730,2
1746535732,2
1746535734,2
1746535737,2
1746535739,2
1746535741,1
1746535743,1
1746535745,1
1746535747,1
1746535749,1
1746535751,1
1746535753,1
1746535755,1
1746535757,1
1746535759,2
1746535762,2
1746535764,2
1746535766,2
