timestamp,memcached_cores_usage
1746537123,1
1746537126,2
1746537129,2
1746537131,1
1746537133,2
1746537135,2
1746537137,1
1746537139,1
1746537141,1
1746537143,1
1746537145,1
1746537147,2
1746537149,2
1746537151,2
1746537153,2
1746537156,2
1746537158,2
1746537160,2
1746537162,2
1746537164,2
1746537166,2
1746537168,2
1746537170,1
1746537172,1
1746537174,1
1746537176,1
1746537178,1
1746537180,1
1746537182,1
1746537184,1
1746537186,1
1746537188,1
1746537191,1
1746537193,1
1746537195,1
1746537197,1
1746537199,1
1746537201,1
1746537203,1
1746537205,1
1746537207,1
1746537209,1
1746537211,1
1746537213,1
1746537215,1
1746537217,1
1746537219,1
1746537221,1
1746537224,1
1746537226,1
1746537228,2
1746537230,2
1746537232,2
1746537234,2
1746537236,2
1746537238,2
1746537240,2
1746537242,2
1746537244,2
1746537246,2
1746537248,2
1746537251,1
1746537253,1
1746537255,1
1746537257,2
1746537259,2
1746537261,2
1746537263,2
1746537265,2
1746537267,2
1746537269,1
1746537271,1
1746537274,1
1746537276,1
1746537278,2
1746537280,2
1746537282,2
1746537284,2
1746537286,2
1746537288,2
1746537290,2
1746537292,2
1746537294,2
1746537296,2
1746537299,2
1746537302,1
1746537304,1
1746537306,1
1746537308,1
1746537310,1
1746537312,1
1746537314,1
1746537316,1
1746537318,2
1746537320,2
1746537322,1
1746537324,2
1746537327,2
1746537329,2
1746537331,2
1746537333,2
1746537335,2
1746537337,2
1746537339,1
1746537341,1
1746537343,1
1746537345,1
1746537347,1
1746537349,1
1746537351,1
1746537354,1
1746537356,1
1746537358,1
1746537360,1
1746537362,1
1746537364,1
1746537366,1
1746537368,1
1746537370,1
1746537372,1
1746537374,1
1746537376,1
1746537379,1
1746537381,1
1746537383,1
1746537385,1
1746537387,1
1746537389,2
1746537391,2
1746537393,1
1746537395,2
1746537397,2
1746537399,2
1746537402,2
1746537404,2
1746537406,2
1746537408,2
1746537410,2
1746537412,2
1746537414,2
1746537416,2
1746537418,2
1746537420,2
1746537422,2
1746537425,2
1746537427,2
1746537429,2
1746537431,1
1746537433,1
1746537435,1
1746537437,2
1746537439,2
1746537441,1
1746537443,2
1746537445,2
1746537447,1
1746537450,1
1746537452,1
1746537454,1
1746537456,1
1746537458,1
1746537460,1
1746537462,1
1746537464,1
1746537466,1
1746537468,1
1746537470,1
1746537472,1
1746537474,1
1746537476,1
1746537478,2
1746537480,2
1746537482,2
1746537484,2
1746537486,2
1746537488,2
1746537490,1
1746537492,1
1746537494,1
1746537496,1
1746537498,1
1746537500,1
1746537502,1
1746537504,1
1746537506,1
1746537508,1
1746537510,1
1746537512,1
1746537514,1
1746537516,1
1746537518,2
1746537520,2
1746537522,2
1746537524,2
1746537526,2
1746537528,2
1746537530,2
1746537532,2
1746537534,2
1746537536,2
1746537538,2
1746537540,1
1746537542,2
1746537544,2
1746537546,2
1746537548,2
1746537550,2
1746537553,2
1746537555,2
1746537557,2
1746537559,2
1746537561,2
1746537563,2
1746537565,2
1746537567,2
1746537569,2
1746537571,2
1746537573,1
1746537575,2
1746537577,2
