#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      211.7    98.4    93.8   131.9   141.7   194.9   224.1   240.9   253.4   269.3   291.0   334.1   466.6  1144.1  3233.1  29978.6    30000  1744660769834  1744660779982
read      220.6    99.6    93.8   139.3   149.4   205.2   234.7   252.2   265.4   281.0   303.3   344.0   456.7   871.2  3791.1  30018.7    30005  1744660781495  1744660791626
read      230.2   168.3    93.8   138.3   147.7   203.2   233.8   253.2   268.9   289.8   322.5   398.8   631.3  1736.4  6460.0  30018.3    30010  1744660793140  1744660803243
read      225.1   106.3    93.8   140.5   150.8   208.8   238.9   256.8   270.0   286.6   309.5   352.4   471.6  1180.6  3488.9  30048.8    30015  1744660804760  1744660814861
read      217.1   107.9    93.8   137.5   146.8   202.5   231.8   248.7   261.3   275.4   295.7   333.4   439.7   843.9  3490.0  30077.7    30020  1744660816375  1744660826474
read      218.7    95.9    93.8   138.8   148.8   205.3   234.5   251.7   264.4   278.9   298.5   336.4   439.6   684.9  3305.0  30029.5    30025  1744660827988  1744660838091
read      222.0    88.0    93.8   140.9   151.1   209.4   239.0   255.9   268.3   282.9   301.9   336.6   437.7   797.0  3362.4  29950.5    30030  1744660839604  1744660849704
read      218.2   106.7    93.8   138.9   148.8   205.0   234.0   250.6   262.9   276.7   296.4   332.8   437.5   733.2  3376.3  30099.2    30035  1744660851217  1744660861319
read      220.5    89.9    93.8   139.7   150.0   207.9   236.6   253.3   266.0   280.7   299.9   335.8   438.7   735.7  3152.0  30022.1    30040  1744660862835  1744660872936
read      222.7    95.7    93.8   140.7   151.1   210.3   239.0   255.9   268.7   283.8   303.3   337.7   438.3   755.7  3450.2  30096.4    30045  1744660874450  1744660884550
read      226.6    84.6    93.8   142.7   153.3   214.7   244.7   261.8   273.7   289.5   310.1   344.4   448.2   704.1  2800.9  30058.8    30050  1744660886064  1744660896167
read      222.4    98.2    93.8   139.9   150.1   209.9   239.6   256.0   268.2   282.6   301.5   336.8   444.2  1071.0  3183.8  30031.2    30055  1744660897679  1744660907780
read      228.5   102.9    93.8   142.4   152.9   214.8   246.2   264.0   275.9   291.6   312.4   348.4   457.9  1081.6  4255.5  30048.4    30060  1744660909293  1744660919391
read      227.7    93.8    93.8   141.8   152.4   214.2   244.3   261.6   273.7   289.6   311.1   351.8   469.3   961.3  3152.2  30008.0    30065  1744660920905  1744660931007
read      222.0    93.5    93.8   140.1   150.3   209.1   238.1   254.5   267.2   282.0   301.9   339.1   446.1   838.4  3379.6  30160.2    30070  1744660932520  1744660942619
read      217.7    88.3    86.8   137.8   147.2   204.9   234.1   251.0   263.5   277.6   297.2   335.4   436.6   693.1  3110.9  30039.6    30075  1744660944135  1744660954236
read      220.1   111.8    93.8   136.8   146.2   206.5   235.5   252.1   264.8   279.8   301.5   343.5   456.5   842.2  3988.4  30104.1    30080  1744660955752  1744660965850
read      229.5   147.5    93.8   135.5   146.2   209.4   239.6   258.0   272.8   292.7   322.1   386.0   564.7  1362.9  5121.9  30056.5    30085  1744660967362  1744660977466
