Random waveform, supplied seed
Total number of intervals = 112 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185)
Average QPS expected = 93505
Timestamp start: 1747330464621
Timestamp end: 1747331464860

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      244.8   156.3    63.8   114.3   146.6   240.7   263.0   274.9   285.8   297.0   315.5   344.6   479.0  1366.5  7450.4   8119.4     8195
read      322.0   402.4    68.9   165.9   178.8   246.6   286.9   314.9   338.7   370.9   425.4   584.7  2052.0  4286.6  9588.7 158602.1   158594
read      273.5   270.1    63.8   157.6   168.6   234.9   274.3   299.5   319.1   343.7   377.6   437.8   915.1  3373.7  8982.3 149877.2   149766
read      250.5   180.5    63.8   115.5   157.4   243.4   265.9   277.9   288.3   299.6   317.4   346.5   511.5  2288.4  7456.0  10319.4    10382
read      332.8   301.4    68.9   175.2   189.6   267.7   313.2   344.2   371.8   413.1   487.9   676.7  1440.0  3476.8  8092.1 170499.0   170548
read      267.3   248.6    63.8   157.5   168.2   232.2   271.3   296.2   316.1   340.5   373.2   432.5   735.7  3242.0  6565.2 150655.7   150565
read      259.7   250.5    63.8   152.0   162.1   222.7   262.8   289.0   309.1   333.1   364.0   412.7   710.9  3576.4  9309.8 136816.7   137144
read      258.2   234.3    63.8   153.1   163.2   223.6   262.1   287.4   306.9   330.8   361.6   408.8   691.9  3278.3  7138.5 143528.0   143496
read      258.3   258.5    63.8   153.9   164.1   223.2   260.5   285.1   304.3   327.7   358.4   403.9   632.3  3714.9  7955.1 144742.6   144743
read      257.5   219.1    59.1   149.6   158.3   218.9   264.5   294.5   316.6   341.1   370.5   416.6   749.8  3218.8  7119.7 116762.0   116745
read      256.3   238.4    63.8   150.8   160.3   219.0   261.1   289.5   311.0   336.2   367.1   415.7   710.7  3330.9  7984.5 129377.7   129314
read      254.5   213.6    63.8   153.4   163.5   222.0   259.8   285.0   304.4   328.3   359.3   405.3   603.8  3159.9  7375.3 144608.8   144723
read      254.7   237.7    63.8   149.1   157.5   217.9   263.1   292.9   314.9   339.6   368.7   412.1   645.7  3066.7  7063.5 117381.4   117379
read      254.9   235.1    59.1   149.4   158.2   218.3   262.0   291.2   313.6   339.2   370.0   417.7   617.4  3288.2  6496.6 119923.8   119931
read      254.5   233.7    63.8   150.3   159.6   217.9   259.4   287.4   308.7   334.0   365.2   412.3   676.0  3278.1  7379.1 132134.9   132052
read      263.9   251.1    59.1   153.0   163.1   222.9   261.8   287.7   308.1   333.4   366.2   421.8  1063.3  3318.3  7428.1 143334.7   143350
read      257.4   220.8    59.1   153.3   163.3   222.9   262.2   288.5   308.9   333.5   365.0   415.5   766.0  2650.5  6229.7 143503.7   143518
read      277.3   327.0    63.8   162.7   174.6   240.5   276.7   300.3   318.9   343.3   378.4   448.8   776.8  3387.2  7773.3 172837.9   172981
read      256.5   220.5    59.1   145.8   154.6   221.2   275.0   306.3   327.1   349.1   375.6   417.9   597.5  2786.0  7406.9  93944.0    94027
read      276.3   253.9    63.8   161.9   173.5   238.5   275.2   299.3   318.3   343.2   379.4   452.2   806.0  3595.9  8029.0 170242.8   170019
read      279.2   253.6    63.8   163.6   175.9   243.7   280.6   304.3   322.4   346.8   385.4   462.1   783.5  3382.0  8269.3 179112.3   179090
read      262.2   162.6    63.8   146.8   158.0   251.6   293.5   314.0   328.0   343.2   364.3   396.8   505.5  2286.4  4364.1  47144.2    47130
read      267.3   171.9    63.8   142.0   165.2   256.5   285.2   301.2   314.4   330.0   349.2   385.5   616.1  2400.9  7334.8  19382.0    19439
read      282.9   283.9    63.8   152.3   162.5   229.3   275.2   306.5   330.4   359.9   399.0   486.7  1335.0  3645.5  8079.6 128870.4   128963
read      268.6   166.0    63.8   149.2   167.2   262.5   290.4   305.8   316.9   331.3   348.6   380.3   485.5  2784.5  7199.6  23791.2    23787
read      261.7   163.2    59.1   146.2   156.2   240.9   295.6   320.3   336.4   354.1   375.0   410.4   522.0  2424.7  4472.5  61995.6    61848
read      261.4   252.9    63.8   148.1   156.7   220.2   272.4   305.0   327.5   351.1   379.2   422.4   727.5  3530.6  7711.2 102050.6   101968
read      258.1   220.3    63.8   148.8   157.2   218.2   267.6   299.3   322.4   346.8   375.7   420.3   740.2  3107.4  7115.0 108798.8   108767
read      262.4   225.4    63.8   147.7   156.3   220.6   275.3   308.7   331.3   355.7   384.5   428.3   721.2  3168.5  7002.3  97053.2    97139
read      268.3   270.9    63.8   158.5   168.8   230.6   267.6   291.2   309.9   333.2   365.3   421.4   749.4  4063.0  8699.9 158729.9   158594
read      264.8   215.4    63.8   154.2   164.6   228.0   270.4   297.6   319.1   345.1   379.5   436.3   763.3  3040.1  7361.3 141229.0   141240
read      261.8   200.0    54.7   146.7   159.4   254.3   295.4   315.8   330.2   345.9   367.6   399.4   480.1  1103.6  5994.1  41550.1    41405
read      254.4   158.6    63.8   144.7   154.9   237.0   291.9   316.3   332.5   349.7   370.7   401.4   469.1   761.9 10300.1  58122.9    57997
read      256.6   214.7    54.7   152.1   162.0   222.2   265.5   293.5   314.9   340.4   372.8   424.1   583.6  3374.7  7582.4 133451.7   133577
read      253.9   122.9    63.8   145.3   155.8   240.3   291.3   314.4   329.9   346.2   367.6   398.1   466.6   737.3  4344.4  53763.2    53832
read      250.7   176.9    68.9   152.6   162.4   219.5   259.1   285.6   305.6   329.9   360.7   404.9   567.2  2386.7  7159.9 139857.1   139832
read      271.0   223.5    63.8   163.0   175.0   242.4   280.2   303.9   321.7   345.1   377.4   434.8   620.4  3052.6  7613.4 170605.9   170515
read      255.8   181.3    63.8   152.0   161.9   223.0   267.3   295.8   317.6   343.1   375.3   426.4   587.8  2556.4  6398.3 128765.8   128494
read      253.9    85.1    68.9   144.3   166.7   252.2   280.6   295.6   307.8   320.8   340.0   368.6   434.8   713.3  2638.6  20717.0    20789
read      252.8   114.8    63.8   146.0   155.7   233.6   290.2   315.7   332.6   351.0   373.0   403.8   475.6   762.3  2370.1  63547.0    63647
read      252.6   161.3    63.8   146.0   155.6   231.9   288.4   314.4   331.6   350.0   372.0   403.2   476.9   737.9  4351.5  64693.3    64802
read      254.2   139.2    63.8   146.3   156.3   239.9   292.1   315.0   330.6   347.3   369.1   400.3   470.6   744.8  3609.3  55616.4    55719
