Random waveform, supplied seed
Total number of intervals = 112 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185)
Average QPS expected = 93505
Timestamp start: 1747332604044
Timestamp end: 1747333604288

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      245.4   174.7    63.8   157.1   167.5   224.4   255.1   274.5   290.1   308.9   334.1   373.1   476.4  2238.1  7258.2 170461.2   170515
read      237.2   161.8    63.8   146.1   154.6   208.2   247.7   275.2   296.1   320.1   348.7   389.1   503.5  1579.6  5824.3 128569.1   128494
read      237.5   118.8    59.1   140.6   160.4   236.2   262.0   275.1   285.9   296.8   313.9   340.0   398.6   582.8  2180.2  20802.3    20789
read      245.2   151.7    59.1   141.9   151.3   228.2   281.4   304.0   318.6   336.1   357.1   388.0   455.6   720.5  9190.9  63656.8    63647
read      244.1   152.6    59.1   141.9   151.2   227.0   280.5   303.3   318.1   335.3   356.0   387.4   459.5   673.3  4212.2  64878.4    64802
read      243.9   163.5    59.1   141.5   151.2   232.4   279.7   299.5   313.6   329.4   347.6   376.2   440.4   639.2 10826.6  55685.9    55719
read      246.9   220.0    59.1   157.9   168.2   224.6   254.2   272.9   287.8   305.8   330.2   369.5   475.8  2902.7  7559.2 174148.4   174179
read      238.5   180.9    63.8   143.2   151.9   208.6   257.1   288.2   309.3   332.6   359.3   395.3   479.7   981.1  7831.8 106341.2   106356
read      253.6   200.3    63.8   161.6   172.8   231.7   262.2   280.7   294.8   313.1   337.6   377.4   505.3  3050.3  7064.0 179040.7   178750
read      237.5   165.4    59.1   142.9   151.5   208.0   257.0   287.9   308.9   331.8   358.3   395.5   481.4  1095.6  4388.1 105698.3   105831
