Random waveform, supplied seed
Total number of intervals = 240 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582, 81972, 42852, 51852, 109368, 55794, 35534, 90576, 95085, 100029, 72551, 84629, 74136, 130756, 69916, 72019, 78070, 99548, 36393, 172591, 8325, 73684, 48420, 6828, 118747, 7123, 175577, 147498, 35814, 59488, 167483, 88988, 9869, 111786, 92736, 178657, 108877, 19091, 65772, 79060, 99953, 24354, 144236, 168093, 22028, 77499, 128271, 126673, 43605, 103217, 93706, 23247, 77378, 10495, 134841, 120602, 36975, 151323, 105217, 110653, 127593)
Average QPS expected = 87982
Timestamp start: 1747075835216
Timestamp end: 1747077035573

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      199.7    72.0    80.4   136.9   151.4   196.4   212.1   220.6   227.4   234.2   245.7   263.3   306.3   672.4  3084.3   8174.2     8195
read      290.2   432.6    68.9   123.4   139.3   225.7   265.2   288.6   306.4   328.2   358.7   414.5  3162.0  4368.3  8083.1 158367.8   158594
read      221.9   220.7    68.9   112.8   125.2   195.5   234.3   259.3   277.4   299.3   327.3   369.4   490.3  2580.7  8529.4 149659.6   149766
read      217.6   148.2    80.4   133.1   151.0   205.5   223.7   233.7   242.1   251.8   266.9   293.5   509.3  2190.0  7417.2  10426.6    10382
read      411.7   448.2    80.4   170.4   196.4   310.4   361.6   393.0   418.4   454.6   533.7  1356.6  1881.4  4906.8  9971.4 170273.6   170548
read      249.9   212.6    74.4   119.7   135.2   226.6   270.2   293.6   310.9   331.2   358.2   402.0   586.4  2990.7  7241.3 150497.0   150565
read      238.3   253.3    68.9   111.9   124.0   198.8   242.3   269.3   289.2   313.0   343.6   396.9  1146.8  3500.4  8104.8 137064.2   137144
read      225.3   223.8    68.9   111.1   122.8   193.5   233.6   258.8   277.3   299.7   328.9   373.0   713.8  2818.1  8853.8 143663.8   143496
read      226.7   221.5    68.9   111.9   123.9   195.9   237.4   264.2   283.5   306.4   335.2   379.4   528.3  3355.5  7422.0 144605.8   144743
read      223.1   239.8    68.9   106.1   116.2   186.2   232.8   262.5   283.5   307.7   337.2   381.4   653.5  3364.5  8032.4 116620.6   116745
read      223.3   243.8    68.9   108.9   119.5   189.8   232.8   260.0   279.8   303.1   331.9   374.1   506.1  3567.6  8090.5 129419.4   129314
read      233.9   248.3    68.9   113.1   125.6   199.0   241.5   267.9   287.2   310.2   339.6   387.6   740.7  3634.1  7862.9 144826.0   144723
read      226.2   227.5    68.9   106.7   117.1   188.5   235.3   265.0   286.2   310.6   340.6   387.2   788.7  3380.3  7093.1 117402.2   117379
read      222.2   212.3    68.9   107.0   117.3   187.6   232.5   261.3   282.3   306.7   337.0   383.3   733.4  2351.2  7779.2 119850.8   119931
read      232.4   288.0    68.9   110.4   121.6   194.2   237.4   264.8   284.6   308.2   337.8   384.2   638.1  3980.2 10660.8 132044.8   132052
read      226.8   243.3    68.9   112.4   124.5   195.6   235.7   261.3   279.8   302.2   331.2   374.2   589.0  3182.8  8125.1 143259.0   143350
read      238.1   276.6    68.9   113.6   126.4   201.1   244.4   270.9   290.7   313.9   343.6   393.7   836.4  3748.5 11022.7 143479.8   143518
read      259.7   202.0    74.4   127.6   143.6   231.0   274.0   300.0   319.8   345.7   384.8   456.6   650.7  2786.7  7875.4 173002.2   172981
read      255.8   289.7    68.9   107.3   117.7   202.3   263.0   299.5   326.8   360.0   405.9   497.5  1035.4  3745.8 11296.9  93764.6    94027
read      257.4   253.1    68.9   128.1   143.7   227.6   269.7   293.9   312.2   334.3   363.9   413.7   683.7  3318.6  7821.8 170110.8   170019
read      282.4   235.1    74.4   141.0   159.9   254.4   296.4   320.5   339.5   362.5   393.4   446.2   821.5  3363.7  7521.5 179113.6   179090
read      237.8   187.9    74.4   110.6   121.4   227.1   268.0   287.4   300.5   316.0   336.6   369.9   530.0  2825.1  7136.9  47168.6    47130
read      248.3   204.8    74.4   120.3   135.5   230.5   261.4   277.4   289.5   303.5   321.4   358.3   949.1  2833.6  7576.1  19471.2    19439
read      280.3   348.2    74.4   112.3   125.1   210.6   258.2   286.2   307.4   334.0   372.9   549.6  1635.7  3699.0  9030.3 128887.0   128963
