Random waveform, random seed
Total number of intervals = 130 (23543, 156154, 86114, 6292, 24028, 86295, 72853, 86886, 37086, 99562, 95213, 149510, 83471, 44497, 40936, 54845, 7232, 81804, 22240, 130314, 159658, 11223, 122324, 103262, 160970, 174369, 141834, 41970, 100663, 49386, 130626, 160246, 84993, 69419, 130098, 32824, 32917, 31544, 54455, 101455, 70125, 90081, 172488, 31446, 152135, 96355, 98271, 100536, 23042, 131581, 102499, 114112, 151796, 171350, 149865, 99539, 62762, 65434, 175425, 43764, 147583, 64605, 61206, 168488, 13652, 6136, 30747, 132270, 134175, 123988, 60603, 7714, 127333, 106053, 170157, 56462, 66571, 33293, 41456, 42057, 165740, 21462, 175698, 88051, 11682, 143386, 56407, 16858, 152975, 41361, 17492, 131869, 35084, 46690, 147558, 165694, 121509, 51220, 157457, 113597, 80687, 146218, 54528, 112007, 130202, 28975, 106408, 5046, 79567, 44029, 49781, 127915, 95934, 19602, 70982, 137593, 161257, 100711, 153297, 29146, 177732, 134245, 79512, 179801, 86713, 108907, 174763, 114342, 167853, 6029)
Average QPS expected = 90814
Timestamp start: 1746544586127
Timestamp end: 1746545886369

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      203.3   120.5    50.7   102.7   115.5   199.6   224.8   237.5   247.6   258.9   273.4   297.3   377.4  1779.9  3967.5  23556.1    23543
read      265.1   346.0    54.7   110.8   123.3   201.2   239.3   264.1   283.5   308.9   346.1   455.7  1610.3  3789.6  7879.5 156057.7   156154
read      223.2   223.8    54.7    95.7   104.7   187.9   244.8   273.0   292.4   315.5   346.2   399.9   714.1  3165.1  7393.2  86195.7    86114
read      179.0   239.5    59.1    97.7   109.1   161.9   180.3   190.2   198.0   207.7   220.5   247.8   574.5  2953.6 10530.9   6306.0     6292
read      214.8   172.4    54.7    97.3   108.5   200.9   232.3   248.6   260.1   273.0   291.8   324.7   729.1  2422.6  5707.1  23971.5    24028
read      250.0   333.5    54.7    96.3   105.6   199.1   260.5   297.1   323.8   353.9   390.3   448.1  1107.1  5838.4  9265.9  86183.0    86295
read      264.7   381.5    50.7    96.5   106.1   209.4   269.0   304.2   329.5   358.1   393.6   456.5  1385.3  6283.3  9013.3  72778.0    72853
read      254.8   321.5    54.7    98.5   108.6   203.2   266.0   304.4   331.9   362.8   399.6   460.1  1155.6  5368.1  8850.5  86743.9    86886
read      238.4   245.0    54.7    96.8   107.1   214.5   259.1   281.6   297.0   315.8   340.1   385.1   969.9  3112.9  8409.5  37093.4    37086
read      235.1   265.4    54.7   100.1   110.0   190.9   248.3   280.5   303.3   330.8   367.3   429.2   850.1  4280.3  7991.4  99692.7    99562
