Random waveform, random seed
Total number of intervals = 130 (49296, 25687, 139906, 15893, 44760, 88312, 30931, 73968, 103736, 66946, 38779, 29305, 43201, 134826, 42162, 11261, 68085, 105854, 137269, 151268, 52634, 130291, 128697, 98927, 99297, 24248, 113260, 10635, 44866, 115695, 161236, 102168, 153402, 37266, 142228, 16623, 49472, 178397, 112811, 160017, 84190, 48595, 147343, 54469, 167034, 71368, 149873, 45018, 60068, 123777, 13748, 32489, 179564, 130013, 7401, 110200, 36399, 98407, 118250, 49773, 170024, 99426, 84562, 7341, 159944, 92849, 154600, 54487, 125231, 122255, 165208, 175561, 50898, 174686, 51332, 125751, 122464, 177074, 104526, 52295, 32376, 26510, 154025, 12323, 63298, 149189, 103255, 37879, 121689, 98029, 61683, 137129, 73523, 148187, 60125, 20593, 95572, 72048, 41686, 58178, 32319, 124957, 74089, 35973, 118782, 73692, 11865, 70841, 50213, 40363, 43173, 19813, 115963, 122672, 167113, 175912, 171573, 56582, 145421, 123919, 129163, 56602, 147034, 107665, 132791, 143487, 170879, 121342, 42148, 119961)
Average QPS expected = 91120
Timestamp start: 1746543216960
Timestamp end: 1746544517202

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      212.1   118.0    54.7    99.3   109.7   204.3   243.0   263.3   276.8   293.3   314.5   346.7   437.0  1498.5  3229.3  49359.8    49296
read      220.2   190.0    54.7   100.3   111.7   202.4   236.2   256.0   269.0   284.3   304.0   340.9   720.2  2469.8  7320.1  25581.1    25687
read      240.4   251.4    54.7   105.6   116.5   187.6   227.6   253.3   273.7   298.7   334.0   419.7  1431.4  2528.4  6801.0 140027.4   139906
read      200.5   190.8    63.8   105.3   118.2   185.6   207.0   218.6   228.1   238.8   255.8   286.7   593.0  2919.4  7681.7  15897.6    15893
read      244.0   264.0    54.7    97.6   107.5   209.1   261.2   287.4   304.7   323.8   348.1   394.6  1134.2  3804.3  7541.4  44666.2    44760
read      252.2   308.0    54.7    98.3   108.3   199.5   264.4   304.1   331.8   362.7   399.2   460.7  1094.2  4701.2  8728.2  88343.2    88312
read      228.7   287.3    54.7    99.4   110.1   205.2   244.3   265.9   280.0   295.7   317.1   358.1   867.6  2980.3  8802.8  30964.5    30931
read      270.7   401.2    54.7    97.9   108.1   207.7   271.0   309.1   336.1   367.6   407.7   492.4  1402.5  6649.6  9473.7  73811.1    73968
read      226.4   234.1    54.7   100.2   110.1   184.1   237.2   271.3   294.5   320.9   357.8   421.2   748.5  3335.5  7599.4 103923.4   103736
read      246.2   307.5    54.7    97.3   106.8   204.9   261.4   292.6   314.7   340.3   372.0   423.5   961.1  4917.0  8364.8  67009.7    66946
