timestamp,memcached_cores_usage
1747342573,1
1747342576,2
1747342578,2
1747342580,2
1747342582,2
1747342584,2
1747342586,2
1747342588,2
1747342590,1
1747342593,1
1747342595,1
1747342597,2
1747342599,2
1747342601,2
1747342603,2
1747342605,2
1747342607,2
1747342609,2
1747342611,2
1747342613,2
1747342615,2
1747342617,2
1747342619,2
1747342622,2
1747342624,2
1747342626,2
1747342628,2
1747342630,2
1747342632,2
1747342634,2
1747342636,2
1747342638,2
1747342640,2
1747342642,2
1747342644,2
1747342646,2
1747342648,2
1747342651,2
1747342653,2
1747342655,2
1747342657,2
1747342659,2
1747342661,2
1747342663,2
1747342665,2
1747342667,2
1747342669,2
1747342671,2
1747342673,2
1747342676,2
1747342678,2
1747342680,2
1747342682,2
1747342684,2
1747342686,2
1747342688,2
1747342690,2
1747342692,2
1747342694,2
1747342696,2
1747342698,2
1747342700,2
1747342702,2
1747342705,2
1747342707,2
1747342709,2
1747342711,2
1747342713,2
1747342715,2
1747342717,1
1747342719,1
1747342721,1
1747342723,1
1747342725,1
1747342728,1
1747342730,2
1747342732,2
1747342734,2
1747342736,2
1747342738,1
1747342740,1
1747342742,1
1747342744,1
1747342746,1
1747342748,1
1747342750,2
1747342753,2
1747342755,2
1747342757,2
1747342759,2
1747342761,2
1747342763,2
1747342765,2
1747342767,2
1747342769,2
1747342771,2
1747342774,2
1747342776,2
1747342778,2
1747342780,2
1747342782,2
1747342784,2
1747342786,2
1747342788,1
1747342790,1
1747342792,1
1747342795,1
1747342797,1
1747342799,2
1747342801,2
1747342803,2
1747342805,2
1747342807,2
1747342809,1
1747342811,1
1747342813,2
1747342816,2
1747342818,2
1747342820,2
1747342822,2
1747342824,2
1747342826,2
1747342828,2
1747342830,2
1747342832,2
1747342835,2
1747342837,1
1747342839,1
1747342841,1
1747342843,1
1747342845,1
1747342847,1
1747342849,1
1747342851,1
1747342853,1
1747342855,1
1747342857,1
1747342859,1
1747342861,2
1747342864,2
1747342866,2
1747342868,2
1747342870,2
1747342872,2
1747342874,2
1747342876,2
1747342878,2
1747342880,2
1747342882,2
1747342884,2
1747342886,2
1747342888,2
1747342890,2
1747342892,2
1747342894,2
1747342896,2
1747342898,2
1747342900,1
1747342902,1
1747342904,1
1747342906,1
1747342908,1
1747342910,1
1747342912,1
1747342914,1
1747342916,1
1747342918,1
1747342920,1
1747342922,1
1747342924,2
1747342926,2
1747342928,2
1747342930,2
1747342932,2
1747342934,2
1747342936,2
1747342938,2
1747342940,2
1747342942,2
1747342944,2
1747342946,2
1747342948,1
1747342950,1
1747342952,2
1747342954,2
1747342956,2
1747342958,2
1747342960,2
1747342962,1
1747342965,1
1747342967,1
1747342969,1
1747342971,1
1747342973,1
1747342975,1
1747342977,1
1747342979,1
1747342981,1
1747342983,1
1747342985,2
1747342987,2
1747342989,2
1747342991,2
1747342993,2
1747342995,2
1747342997,1
1747342999,1
1747343001,1
1747343003,2
1747343005,2
1747343007,2
1747343009,2
1747343011,1
1747343013,1
1747343015,2
1747343017,2
1747343019,2
1747343021,2
1747343024,2
1747343026,2
1747343028,2
1747343030,2
1747343032,2
1747343034,2
1747343036,2
1747343038,2
1747343040,2
1747343042,2
1747343044,2
1747343046,1
1747343048,1
1747343050,1
1747343052,1
1747343054,1
1747343056,1
1747343058,1
1747343060,1
1747343062,1
1747343064,1
1747343066,1
1747343068,1
1747343070,1
1747343072,2
1747343074,2
1747343076,2
1747343078,2
1747343080,2
1747343082,2
1747343084,2
1747343086,2
1747343088,2
1747343090,2
1747343092,2
1747343094,2
1747343096,2
1747343098,2
1747343100,2
1747343102,1
1747343104,1
1747343106,2
1747343108,2
1747343110,2
1747343112,2
1747343114,2
1747343116,2
1747343118,2
1747343120,2
1747343122,2
1747343124,2
1747343126,2
1747343128,2
1747343130,1
1747343133,1
1747343135,2
1747343137,2
1747343139,2
1747343141,2
1747343143,2
1747343145,1
1747343147,1
1747343149,1
1747343151,1
1747343153,1
1747343155,1
1747343157,2
1747343159,2
1747343161,2
1747343163,2
1747343165,2
1747343167,2
1747343169,2
1747343171,2
1747343173,2
1747343175,2
1747343177,2
1747343179,2
1747343181,2
1747343183,2
