Total number of intervals = 130 (141540, 9994, 115116, 51626, 160061, 132580, 96338, 169563, 51150, 39660, 130077, 20426, 96677, 91563, 70624, 75995, 41637, 105593, 129375, 124130, 174732, 116883, 179960, 141024, 73565, 159283, 170444, 151785, 164978, 168837, 93450, 107612, 117688, 58128, 64186, 32057, 94960, 112527, 122530, 63866, 78595, 168697, 17288, 38254, 131480, 159952, 39643, 25252, 179526, 16777, 15873, 57328, 94461, 121368, 138195, 127487, 71368, 146915, 46754, 173491, 84290, 145970, 79235, 79929, 12949, 77238, 109857, 39727, 24915, 108768, 112567, 95880, 165452, 82546, 73776, 20922, 38179, 92960, 99589, 20128, 155087, 12198, 63692, 129265, 32750, 26375, 148415, 55494, 74597, 168225, 144018, 172241, 86416, 177359, 171536, 124599, 15102, 40786, 155820, 82522, 11358, 126679, 149586, 126137, 133715, 98483, 158457, 119684, 173047, 154564, 141504, 93030, 39372, 5657, 28987, 122231, 115976, 161315, 24477, 107204, 76743, 15116, 108074, 9912, 141516, 128084, 136666, 166915, 168077, 106988)
Average QPS expected = 98629
Timestamp start: 1746535280606
Timestamp end: 1746536580918

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      228.4   312.2    59.1    97.4   108.1   203.2   240.9   260.6   273.9   290.3   311.5   348.2   922.3  3378.1 15418.6  32025.9    34902
read      232.2   267.5    54.7    99.5   109.2   189.0   245.6   279.3   303.3   331.6   368.4   430.6   780.0  3195.9 10837.3  94875.8   129869
read      224.5   243.2    54.7   101.5   111.3   183.1   232.5   264.6   288.3   316.3   354.8   427.4   739.8  2905.0 10095.1 112454.9    24141
read      229.6   257.2    59.1   103.5   113.8   185.1   231.8   262.7   286.2   315.1   356.6   447.9   898.8  2646.1 12616.3 122313.1    58138
read      247.5   346.6    54.7    96.9   106.3   206.4   258.6   287.3   308.1   332.4   363.6   414.8  1070.2  5850.7  9443.9  63883.5    49241
read      255.7   384.8    50.7    97.4   107.2   205.5   265.8   301.6   327.2   356.1   391.0   446.8  1129.6  5560.2 15155.5  78591.6   143615
read      263.7   300.9    50.7   120.3   135.5   216.6   255.0   278.3   295.8   318.2   351.0   425.3  1466.5  3294.7  8941.5 168634.5    58832
read      194.9   252.1    59.1   101.2   113.1   181.6   204.2   216.2   225.2   235.0   250.6   276.1   504.0  2252.8 15579.0  17324.1   167315
read      228.3   267.7    59.1    96.8   106.9   206.5   247.2   268.2   282.8   299.3   320.3   359.1   862.2  2952.2 14794.4  38182.7    72152
read      271.2   319.3    54.7   107.0   118.7   196.8   239.7   267.8   290.0   319.4   372.8   822.7  1535.5  2946.4  7232.3 131386.4    27023
read      216.8   188.2    50.7   111.7   123.7   191.9   228.1   250.4   267.5   288.2   315.0   359.0   518.9  2583.2  5043.2 159844.5    22750
read      227.4   367.1    54.7    97.2   107.2   205.0   244.1   265.2   279.9   297.2   319.5   356.8   702.2  2962.5 16071.8  39614.2   135390
read      223.1   395.0    54.7    98.6   110.0   199.0   230.9   247.8   259.7   273.2   292.4   325.4   806.0  3134.9 16031.8  25274.1    62314
read      267.5   249.4    54.7   130.7   147.8   233.0   271.7   294.2   311.7   333.3   364.1   423.9  1364.0  3071.1  5329.1 179568.8    63895
read      195.0   350.6    59.1   102.4   114.3   181.3   203.5   215.5   224.2   233.9   248.6   272.5   436.9  2312.2 16011.8  16787.9    32826
read      210.1   443.3    50.7   101.5   113.9   181.4   205.0   217.4   226.8   236.7   252.6   284.0   788.2  7054.8 16087.5  15883.5    75364
read      249.6   332.2    59.1    96.5   105.9   211.4   263.8   294.4   315.5   338.7   367.3   413.5  1056.8  5426.8 10614.9  57263.4   116875
read      226.2   229.1    63.8   100.4   109.9   186.7   242.2   273.9   296.4   323.0   360.0   423.5   657.5  3099.1  7423.9  94493.6    48249
read      203.8   145.9    59.1   102.0   111.5   176.1   218.1   245.5   266.0   289.4   317.8   362.4   569.0  1383.2  3455.6 121300.5   106047
read      210.9   202.9    59.1   105.4   115.6   180.9   220.1   245.3   264.6   287.2   315.6   361.0   613.1  2227.4  7940.5 137964.8    68280
read      200.6   163.2    54.7   102.7   112.2   175.0   215.6   242.1   262.3   284.9   312.1   351.4   465.9  1492.4  4049.4 127471.3    48804
read      231.0   223.8    63.8    97.7   107.1   200.7   254.1   281.6   301.7   326.8   360.8   413.2   677.2  3334.9  7345.3  71343.3   165435
read      270.4   325.5    59.1   110.4   122.7   204.6   246.4   270.9   289.9   314.2   351.6   529.0  1603.0  3334.3  6114.8 146641.8   153326
read      238.0   351.6    54.7    97.5   107.3   205.3   245.7   267.4   283.2   302.4   329.3   374.5  1128.0  3974.7 15754.7  46953.6   165245
read      303.9   340.0    59.1   129.2   147.8   240.4   280.0   304.0   322.2   347.9   391.5   557.3  1606.1  3625.3  8623.2 173419.2   108174
read      220.3   208.6    54.7    97.3   106.3   187.7   242.8   270.9   290.6   314.7   348.2   405.7   578.5  2717.9  7065.4  84217.1   118026
read      245.3   289.1    54.7   104.4   115.2   187.5   229.5   254.3   273.1   296.1   329.5   416.1  1529.9  3005.4  7116.2 145719.1   141275
read      229.0   235.3    54.7    96.7   105.7   193.0   249.4   279.0   300.7   327.3   363.3   418.8   688.7  3660.8  7532.4  79324.7   101276
read      246.6   338.5    54.7    97.1   106.4   201.6   265.1   302.7   329.1   358.1   392.3   442.6   829.0  4440.4 15396.5  79698.8    30827
read      187.2   312.2    59.1   102.1   114.2   171.8   192.7   203.6   212.2   221.8   234.1   255.7   450.6  2203.3 15738.2  12945.2    72667
read      248.3   379.4    54.7    97.1   106.3   203.2   265.1   301.4   327.1   355.4   389.1   437.5   792.8  5760.4 15598.2  77313.2   103382
read      233.0   293.1    54.7   100.3   110.2   185.0   238.0   272.1   297.5   330.4   378.4   461.4   816.6  3291.7 14390.5 109924.7    80142
read      230.2   411.9    54.7    96.8   106.7   202.0   241.4   263.4   278.8   296.8   319.7   359.4   848.9  3461.7 16902.4  39714.0    96883
read      208.4   203.5    54.7    98.1   108.9   193.6   225.5   241.7   253.1   267.1   284.9   315.0   660.2  2152.7  7003.2  24909.7    50888
read      232.0   254.2    54.7   101.4   111.2   185.9   240.0   275.2   302.5   336.4   384.1   464.1   738.7  2736.3 12061.6 108785.2    13399
read      222.2   218.8    54.7   100.8   110.5   182.5   233.6   266.4   290.4   319.2   362.0   437.2   661.5  2102.8  8433.8 112375.5   116634
read      218.2   164.8    54.7    98.5   107.7   184.2   241.9   276.0   300.4   329.3   366.9   424.0   547.5  1491.0  6083.5  95716.3    25730
read      228.4   281.3    54.7   112.1   124.5   194.3   230.5   252.5   269.3   290.0   317.6   366.2   926.5  3419.7 11915.4 165357.3   171074
read      219.9   170.1    54.7    97.2   106.3   191.7   250.1   281.9   304.6   331.3   365.5   414.6   520.1  1393.4  4791.4  82442.8    71311
read      230.4   175.7    59.1    96.9   105.9   203.8   265.3   300.3   324.7   351.2   382.5   425.9   527.7  1749.6  4111.1  73844.1    70249
read      203.1   211.0    59.1   100.1   111.6   194.2   223.8   238.7   250.1   263.4   279.7   307.7   388.2  1559.4 15120.4  20988.5    73310
read      221.8   197.7    54.7    97.2   107.3   206.8   249.7   272.2   287.8   305.2   326.1   360.6   550.5  1970.4  7167.0  37984.5    75894
read      222.5   209.1    54.7    98.7   108.0   185.6   241.0   272.8   295.1   321.1   357.4   415.8   610.2  2795.2  6430.7  92829.3    98935
read      220.7   195.4    54.7    98.9   108.5   183.7   238.3   271.5   294.9   322.9   361.9   425.3   607.3  2323.1  5284.2  99573.2    54966
read      201.7   350.1    54.7   101.3   113.3   184.3   208.2   221.0   230.3   241.5   256.2   284.0   471.0  2995.5 16022.9  20155.5   110739
read      287.5   341.9    46.9   113.9   128.4   217.5   259.1   283.3   302.1   327.3   369.1   606.2  1671.3  3623.7  7191.8 155102.2   162501
read      179.2   176.8    54.7   101.8   113.8   168.9   187.9   198.7   206.6   215.9   229.2   251.9   417.5  1686.4  8698.8  12140.5     6170
read      247.4   298.4    59.1    96.2   105.4   208.2   265.0   297.6   319.9   344.8   374.9   424.7  1012.7  4883.6  7909.2  63648.5    78301
read      224.9   228.0    54.7   102.6   112.6   181.8   225.4   252.4   272.1   294.7   323.4   376.5  1328.0  2617.2  4395.9 129191.9   119218
read      194.5   189.6    59.1   101.2   112.0   194.8   219.3   231.1   239.5   249.8   263.2   283.8   332.4   543.8 14538.7  32886.6    45498
read      188.5   134.5    54.7   102.6   114.3   189.7   210.6   221.1   228.9   237.1   249.8   269.2   315.8   486.1  6033.4  26362.5    61423
read      204.0   221.5    59.1   106.0   116.4   181.5   220.4   245.3   264.1   285.7   311.9   348.6   428.8   895.4 14582.2 148254.6   145158
read      200.7   201.7    54.7    98.1   107.9   196.6   234.0   250.2   261.1   272.6   288.4   311.6   365.0   727.9 14189.8  55411.0    91593
