Random waveform, random seed
Total number of intervals = 100 (65954, 161032, 173870, 162591, 123919, 123385, 86985, 121964, 5067, 95654, 43761, 94894, 42349, 169510, 26398, 9653, 156476, 72863, 89080, 159824, 176312, 70855, 107744, 56299, 114013, 62417, 50033, 163584, 8525, 108541, 155104, 118847, 116057, 115764, 94786, 152717, 69334, 91866, 85362, 139105, 23690, 169391, 132501, 156850, 62024, 89103, 18262, 126222, 164101, 119449, 76264, 21379, 18997, 50511, 139025, 83292, 177164, 44111, 40304, 100618, 164718, 174453, 151844, 105613, 126138, 147198, 73630, 14742, 111266, 96165, 55552, 160265, 48276, 38290, 26109, 63017, 145816, 119978, 43686, 72837, 171728, 40786, 151785, 168217, 9035, 94603, 56434, 116728, 29861, 109778, 122194, 13758, 33547, 119452, 137319, 119379, 127228, 93725, 167926, 178433)
Average QPS expected = 98572
Timestamp start: 1746461886581
Timestamp end: 1746462886822

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      230.8   188.3    54.7   100.2   110.5   196.8   251.8   279.4   297.8   320.2   351.0   429.2   828.2  2036.9  4922.3  91896.6    91866
read      211.6   118.4    54.7    98.6   108.5   191.7   245.7   271.4   288.0   306.7   329.9   367.4   522.0   943.2  2056.6  85393.8    85362
read      247.1   207.1    59.1   110.4   124.6   217.3   265.5   292.4   312.4   336.5   369.1   432.0   719.5  2772.0  6167.4 139048.1   139105
read      209.6   165.6    63.8   100.2   111.4   201.1   228.0   242.7   253.5   267.3   285.4   315.7   509.5  2204.4  7426.1  23789.5    23690
read      423.2   344.9    74.4   192.8   219.0   366.7   443.5   488.7   522.2   563.1   618.9   721.9  1618.1  3950.4 10237.4 169575.6   169391
read      329.3   269.0    68.9   138.9   162.8   292.0   353.8   393.4   425.3   465.1   517.5   598.7   819.4  3347.3  8033.1 132486.9   132501
read      329.1   274.3    59.1   136.1   158.9   289.2   353.7   397.2   432.6   476.6   533.0   615.5   800.8  3207.7  7981.1 156657.4   156850
read      245.2   304.6    54.7    99.3   109.7   214.9   264.2   287.9   305.3   327.5   361.2   424.9   726.7  5284.3  8569.1  62003.0    62024
read      218.2   134.1    63.8   101.5   112.0   195.8   249.1   276.4   293.8   313.8   338.2   375.9   567.4  1178.7  4150.2  89172.4    89103
read      203.4   146.1    59.1   103.7   115.8   193.8   217.8   230.7   240.2   252.3   268.4   294.8   531.0  2042.0  4518.4  18246.1    18262
read      335.5   398.6    63.8   116.0   133.5   249.3   310.4   347.5   378.4   422.6   498.4   826.6  1743.8  3850.7  8645.4 126124.2   126222
read      385.1   291.2    68.9   177.7   206.3   345.7   414.2   457.8   491.7   533.7   588.4   675.1   866.1  3500.0 10592.0 163867.2   164101
read      239.1   206.3    63.8   107.3   120.1   211.2   261.1   288.3   307.3   329.3   357.9   405.2   673.9  2797.1  7018.1 119420.8   119449
read      213.9   111.8    59.1   100.0   109.9   198.2   252.5   276.3   291.7   309.3   331.0   365.8   492.8   808.6  2339.5  76146.7    76264
read      212.9   182.4    63.8   101.3   112.9   198.5   225.7   240.3   251.6   265.3   282.9   316.0   745.7  2459.4  7151.2  21379.7    21379
read      205.5   162.2    63.8    99.9   111.2   194.1   221.0   234.6   245.3   257.1   272.9   301.9   639.4  2031.4  7211.6  18907.7    18997
read      257.1   355.9    63.8    96.4   106.3   221.6   271.1   298.4   318.3   341.0   370.5   425.6  1028.0  6083.9 12010.8  50487.8    50511
read      293.5   326.7    59.1   112.7   128.1   231.8   286.8   317.3   340.9   371.4   422.8   570.3  1603.7  3720.7  7926.2 138920.6   139025
read      217.9   201.3    59.1    99.6   110.0   197.1   249.7   274.0   289.7   307.3   329.6   368.0   546.2  1738.3  7368.8  83199.6    83292
read      389.7   312.4    74.4   167.8   194.1   329.3   398.4   444.0   480.3   526.3   588.7   719.4  1568.4  3412.1  7913.4 177321.3   177164
read      259.4   376.1    63.8    99.1   110.3   216.1   258.0   281.7   300.4   324.9   360.8   432.2  1352.5  5535.9 10248.3  44067.8    44111
read      273.0   385.0    59.1    96.5   107.1   227.4   276.4   304.5   323.5   345.0   374.2   433.6  1574.6  5840.4  8088.8  40352.2    40304
read      233.9   208.7    63.8    99.8   110.4   195.1   249.7   278.1   297.2   319.7   349.5   418.9  1049.0  2236.5  6857.2 100611.4   100618
read      363.9   279.3    63.8   162.6   190.8   325.4   392.7   437.6   473.0   514.2   564.3   635.1   800.5  3403.3  7919.2 164633.9   164718
read      393.1   268.2    68.9   186.4   213.2   356.2   424.8   468.1   502.9   544.5   597.7   681.1   893.5  3560.8  9058.3 174376.8   174453
read      346.2   221.8    63.8   159.8   185.4   313.5   377.9   419.3   450.7   488.5   537.9   617.4   799.5  1909.2  7474.1 151674.2   151844
read      215.7   139.1    59.1   100.5   111.2   194.1   244.4   270.7   288.1   307.8   332.7   372.8   567.0  1177.7  3205.7 105436.2   105613
read      217.0   149.0    59.1   103.0   114.3   194.7   241.7   268.2   286.0   306.2   331.0   369.1   526.1  1605.5  4201.4 126216.9   126138
read      239.5   152.1    63.8   113.3   128.1   219.1   265.2   290.9   309.7   332.2   362.8   419.3   597.7  1326.5  3392.3 147279.7   147198
read      219.8   107.0    63.8    97.2   107.4   210.6   260.3   283.8   300.2   319.3   343.6   382.8   469.2   691.9  3262.5  73533.6    73630
read      179.2    62.2    59.1   100.9   112.8   178.3   198.5   209.4   216.7   226.3   237.1   256.8   310.1   578.7  1900.8  14802.8    14742
read      221.7   145.7    59.1   101.6   112.6   196.5   246.9   273.4   291.6   312.7   340.0   391.3   675.3  1377.0  3375.6 111125.0   111266
read      207.7   128.0    54.7    98.1   108.1   189.5   241.6   266.8   282.6   299.8   321.1   355.8   456.3   869.4  3259.0  96065.7    96165
read      212.7   101.9    63.8    97.0   106.7   209.9   252.2   271.5   285.3   300.9   320.6   351.9   425.1   686.6  2836.9  55436.2    55552
read      404.0   287.3    68.9   175.0   206.2   344.7   429.7   477.8   510.7   548.8   602.8   721.1  1540.0  3000.0  7297.0 160147.0   160265
read      219.7   193.1    54.7    99.1   109.4   216.3   255.9   274.8   289.1   305.6   326.3   359.5   436.9  1062.8  3887.0  48284.1    48276
read      210.7    83.8    63.8    97.6   107.7   212.0   248.0   265.4   276.6   290.9   308.8   335.3   393.1   607.6  1645.7  38326.0    38290
read      197.4   103.1    63.8    98.1   108.4   199.4   225.6   238.7   248.5   259.7   273.3   296.2   350.8   586.6  2375.8  25999.2    26109
read      224.3   105.6    59.1    96.7   106.8   218.9   266.9   291.1   308.1   327.0   349.8   386.9   465.9   711.0  1895.9  62809.1    63017
read      339.5   327.2    59.1   128.9   149.7   268.8   324.6   362.5   395.1   441.1   509.1   683.7  1618.8  3311.5  7852.2 145924.9   145816
read      214.3   132.9    63.8   102.8   113.9   194.2   241.8   268.2   285.9   305.6   329.7   366.2   472.8  1414.3  3112.7 119954.6   119978
read      215.6    92.3    54.7    98.5   108.9   217.2   254.4   272.1   285.1   299.5   318.5   346.0   408.9   707.6  2273.4  43631.3    43686
read      229.7   122.0    59.1    97.9   108.6   220.1   271.4   297.4   315.8   336.7   362.8   402.2   497.4   842.8  3082.5  72877.0    72837
read      380.7   256.7    68.9   164.9   194.8   335.5   409.2   455.4   489.9   532.0   588.7   685.0  1384.5  2716.5  5505.7 171903.9   171728
read      211.1    88.0    59.1    99.5   110.0   211.3   246.6   264.0   275.1   290.2   309.4   338.8   409.5   648.7  1784.6  40882.2    40786
read      312.8   264.9    63.8   131.1   151.5   266.9   318.6   350.7   377.0   414.5   469.8   568.4  1484.3  2711.7  7248.6 151882.9   151785
read      362.0   194.8    68.9   160.2   190.1   332.9   405.0   448.3   479.2   516.0   564.8   643.9   806.9  1391.1  4591.5 168095.0   168217
read      172.6   238.5    63.8   102.8   113.9   163.4   182.0   192.0   199.0   207.9   218.6   237.9   318.8  1083.3 15024.2   9073.2     9035
read      215.1   131.2    59.1    98.0   108.3   194.7   247.4   273.1   290.7   310.9   336.6   379.9   526.0  1194.2  4132.4  94640.7    94603
read      236.5   137.3    59.1    99.0   109.4   221.7   270.2   298.0   320.4   350.3   391.1   451.0   557.8   793.9  2346.4  56335.0    56434
read      273.1   305.4    54.7   103.8   116.2   209.4   260.5   288.1   308.5   334.5   375.2   596.5  1591.0  3160.7  7650.9 116685.5   116728
read      203.4    95.2    59.1    99.9   111.0   204.3   231.5   245.6   255.0   267.2   282.5   309.1   376.1   956.8  3117.7  29781.1    29861
read      297.8   233.8    63.8   110.2   124.9   237.1   311.2   364.0   406.4   461.7   536.7   680.0  1098.9  1665.7  4212.6 109720.1   109778
read      539.8   626.4    68.9   145.1   168.3   283.6   350.1   431.9   840.6  1327.9  1471.1  1645.3  2805.0  4850.9  9051.5 122313.6   122194
read      182.6   112.7    59.1   101.4   112.9   176.1   197.0   207.9   215.6   225.6   238.1   262.2   369.2  1461.3  3700.0  13752.2    13758
read      206.2    80.0    54.7    98.6   109.1   208.3   239.9   255.9   266.8   278.9   294.8   319.4   372.8   573.5  2087.6  33506.1    33547
read      491.6   549.9    59.1   133.6   154.6   274.2   368.8   502.0   733.5  1013.4  1297.6  1518.4  2499.5  3879.6  8089.3 119430.3   119452
read      567.3   684.5    68.9   152.2   174.8   291.2   356.7   434.6   860.9  1370.4  1530.9  1732.0  3342.2  5642.1  8429.2 137319.2   137319
read      573.1   710.9    74.4   152.7   175.2   290.7   355.7   428.5   751.6  1384.1  1553.4  1797.9  3479.0  7052.8  8602.8 119455.5   119379
read      572.6   720.7    74.4   152.4   175.2   289.8   354.1   429.0   752.0  1372.5  1550.5  1800.2  3494.8  7021.8  9798.0 127174.7   127228
read      531.2   662.8    68.9   139.8   161.1   272.6   346.0   438.0   713.9  1208.5  1461.3  1715.2  3122.3  7198.0  9118.9  93707.8    93725
read      562.2   683.5    63.8   152.0   174.2   287.7   349.2   421.1   761.2  1359.0  1525.0  1742.6  3423.7  4812.6  9285.3 159474.7   167926
read      563.3   739.2    74.4   148.1   168.8   281.1   341.0   404.6   695.0  1350.3  1524.4  1760.9  3535.3  7772.8  9776.9  49417.1   178433

Total QPS = 97175.2 (97175176 / 1000.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 24002268966 bytes :   22.9 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.86%,31.66%,100.00%
