Random waveform, random seed
Total number of intervals = 100 (176170, 139122, 134712, 46778, 57361, 126110, 35375, 33941, 91990, 69617, 133829, 82146, 164790, 154350, 46150, 9032, 51552, 144679, 84092, 153948, 120312, 65292, 65144, 20285, 6639, 90575, 77850, 75530, 110742, 50571, 107361, 102153, 76495, 44941, 150404, 57423, 105233, 29750, 176864, 70032, 99565, 143764, 106024, 30526, 84726, 134220, 171264, 118808, 151190, 144567, 129225, 51443, 58747, 132753, 17890, 179877, 141547, 124923, 21898, 156312, 123524, 138121, 111088, 92700, 89171, 116787, 132805, 27920, 52435, 114867, 67188, 79365, 159402, 73386, 122813, 87496, 139554, 58362, 142346, 74360, 48489, 108522, 16554, 128326, 163936, 155192, 24143, 95573, 82636, 179433, 28277, 96287, 175839, 171131, 150581, 53026, 66905, 42681, 153279, 65711)
Average QPS expected = 97488
Timestamp start: 1746458978834
Timestamp end: 1746459979073

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      445.6   533.1    68.9   157.1   180.9   304.1   362.1   402.0   437.8   496.5   713.9  1459.4  3161.7  5078.8  8151.2 176388.4   176170
read      306.0   242.8    68.9   142.4   164.1   277.2   327.2   356.8   379.1   406.7   446.2   513.2   760.4  3517.7  8079.1 139181.0   139122
read      240.3   281.2    63.8   108.0   119.7   197.8   246.0   275.3   296.0   320.2   353.1   413.3   959.1  3695.2  8006.7 134726.5   134712
read      257.1   345.3    63.8    99.3   109.6   217.9   263.3   288.2   306.7   330.1   362.6   423.7  1236.5  5681.4  8025.5  46670.3    46778
read      292.7   467.0    54.7    98.0   108.2   226.2   288.7   323.1   347.0   375.0   414.2   497.5  1870.6  7330.2 11019.7  57456.6    57361
read      269.5   350.1    63.8   105.8   117.6   202.6   258.1   289.7   311.9   338.8   377.5   489.3  1608.1  4223.1  8379.3 126080.6   126110
read      238.0   240.7    54.7    98.4   108.8   212.1   250.8   273.4   289.7   309.4   336.1   385.6   979.2  3321.7  7735.3  35453.1    35375
read      246.7   246.0    59.1    97.4   107.9   217.3   264.2   287.9   303.9   322.3   348.5   402.8  1084.7  3262.9  7601.1  33878.6    33941
read      244.7   304.8    50.7   100.9   110.9   194.8   253.9   285.7   306.7   331.9   369.2   457.4  1172.6  4041.2 10156.5  92048.5    91990
read      236.3   278.6    54.7    99.0   108.5   201.4   256.4   282.8   299.5   319.7   349.5   413.2   773.0  4254.3  8483.8  69710.6    69617
read      232.7   247.8    63.8   104.9   116.1   191.7   238.7   268.8   289.6   313.7   344.2   401.1  1112.6  3056.4  7842.5 133874.4   133829
read      232.2   222.5    63.8    98.8   108.3   193.9   252.8   283.0   302.4   325.4   359.2   429.2   796.0  3300.3  7447.7  82013.9    82146
read      322.2   327.9    63.8   132.5   152.2   264.3   314.3   343.2   366.2   395.3   437.8   559.5  1590.5  3471.0  7992.7 164902.3   164790
read      248.8   252.1    59.1   113.3   127.4   211.1   258.2   286.1   306.6   331.7   366.6   432.5   951.9  3287.8  8081.4 154334.3   154350
read      251.9   334.4    59.1   100.2   110.3   217.4   261.2   284.8   301.4   322.9   353.2   408.1  1091.2  5566.8  8044.5  46189.8    46150
read      192.3   169.9    63.8   105.2   116.8   173.5   194.0   205.5   214.0   224.8   240.7   283.8   711.5  2237.5  7257.1   9000.0     9032
read      282.6   457.6    59.1    98.0   108.1   223.4   282.0   312.5   333.6   358.3   391.3   457.7  1764.4  7631.8  9898.8  51519.1    51552
read      307.2   358.8    63.8   115.9   131.5   233.0   288.5   318.8   342.5   373.5   427.3   654.3  1651.1  3766.9  8030.1 144763.2   144679
read      251.5   323.3    59.1   100.8   110.9   199.4   258.0   287.7   307.7   332.1   368.7   456.1  1337.8  4520.7  9311.3  84144.7    84092
read      247.4   270.9    63.8   112.9   126.7   209.1   255.6   283.3   303.5   328.0   361.8   423.2   779.8  3490.1  8084.1 153876.9   153948
read      237.5   287.7    59.1   104.2   114.9   191.0   241.7   273.2   294.3   318.0   348.0   405.3  1065.6  4188.4  8007.0 120286.1   120312
read      266.9   397.5    63.8    99.0   108.8   213.8   270.8   299.5   320.6   347.8   387.3   458.9  1485.0  6348.0 10447.5  65358.8    65292
read      292.7   480.4    59.1    97.9   107.9   223.1   287.6   323.2   348.2   377.6   417.2   496.1  1875.8  7440.2  9744.8  65158.8    65144
read      234.5   268.3    59.1   101.0   112.6   203.7   234.3   253.1   267.2   283.9   308.3   371.6  1128.2  3837.0  7880.1  20333.8    20285
read      192.1   289.4    63.8   102.5   113.1   162.7   180.8   191.3   199.3   209.9   224.6   263.3   853.6  4787.8  8078.0   6638.9     6639
read      238.1   261.5    59.1    99.9   109.7   192.6   250.4   281.7   301.9   326.3   362.3   441.2   999.4  3514.6  7884.0  90427.7    90575
read      230.9   232.4    63.8    99.6   109.2   196.4   254.3   282.4   300.3   321.6   353.3   419.4   686.0  3152.5  7885.6  77824.2    77850
read      239.6   236.0    63.8    99.2   108.9   201.9   261.7   291.8   312.9   339.5   378.3   447.8   735.6  3507.1  7621.5  75527.2    75530
read      211.1   137.2    59.1   101.2   110.9   181.5   230.6   262.2   283.4   306.2   333.9   378.3   609.9  1298.1  3207.9 110746.4   110742
read      242.6   300.3    59.1    97.7   107.4   213.9   262.8   289.4   308.8   332.2   362.3   410.2   729.6  4397.2  9316.9  50502.4    50571
read      233.6   224.1    59.1   101.0   111.1   187.2   239.7   272.4   293.9   318.4   353.1   448.6  1102.9  2286.3  7760.3 107392.2   107361
read      208.9   132.9    59.1    99.1   108.6   180.3   231.7   263.9   284.7   306.4   333.0   375.1   572.8  1098.6  3273.3 102181.0   102153
read      233.7   217.8    54.7    99.5   109.1   198.4   256.7   285.4   304.6   328.0   363.5   435.3   740.0  2967.3  7259.6  76371.0    76495
read      261.3   347.6    63.8    97.1   107.0   218.9   273.3   301.7   320.8   342.5   370.9   424.1  1262.8  5702.8  8094.1  44995.7    44941
read      304.2   330.7    63.8   118.9   135.5   239.3   295.6   326.9   350.3   381.4   429.4   567.6  1601.7  3475.9  7973.0 150301.7   150404
read      242.8   291.3    59.1    98.3   108.0   211.0   262.7   289.7   309.8   334.6   367.8   422.1   685.6  5123.9  7887.2  57358.0    57423
read      243.2   241.6    63.8   101.9   112.3   192.5   248.6   282.3   305.9   335.4   383.1   517.0  1081.7  2528.5  7812.9 105301.4   105233
read      218.7   177.5    63.8    99.5   110.1   202.4   234.2   253.9   268.6   286.3   310.8   355.7   637.5  2441.4  7398.8  29723.5    29750
read      379.2   347.7    74.4   166.8   190.6   322.0   375.6   407.2   432.5   465.6   518.5   666.2  1615.9  3760.0  8680.8 176585.7   176864
read      225.9   203.4    63.8   101.1   110.9   199.6   251.6   278.1   295.2   315.9   344.1   399.9   578.7  2859.2  7216.6  69904.0    70032
read      212.3   125.2    59.1   101.0   110.5   183.7   236.7   269.2   289.6   311.6   338.8   385.7   568.2  1128.4  2659.0  99458.3    99565
read      228.3   194.5    59.1   108.6   120.5   196.4   241.1   269.4   289.4   312.7   342.3   392.9   635.1  2803.2  6103.1 143695.4   143764
read      210.2   168.5    63.8   100.0   109.7   180.8   230.7   262.1   283.1   305.4   332.8   376.0   583.5  1254.3  3818.0 105976.7   106024
read      226.6   198.9    63.8    98.7   109.3   204.8   240.0   262.0   277.3   295.0   319.5   367.1   853.1  2770.4  7407.6  30534.5    30526
read      214.8   138.1    59.1    99.4   108.9   187.6   243.9   274.1   292.4   313.1   339.5   387.1   553.8  1532.3  3933.7  84884.3    84726
read      222.4   193.1    54.7   105.3   116.5   189.5   234.3   263.4   284.0   307.5   337.0   386.6   703.6  2382.1  4708.3 134320.4   134220
read      269.0   220.3    63.8   128.4   145.8   240.9   287.7   315.0   336.0   362.2   397.7   459.4   656.3  3071.0  7251.6 171100.6   171264
read      216.1   176.5    59.1   102.5   112.7   184.0   230.7   261.0   282.0   305.2   333.8   379.7   664.3  2037.5  6121.9 118808.1   118808
read      231.9   198.9    59.1   111.5   124.4   201.7   245.5   272.1   291.7   314.8   344.5   397.2   650.1  2619.5  5976.7 151184.7   151190
