Random waveform, random seed
Total number of intervals = 100 (164642, 121534, 116548, 142317, 117923, 158031, 134909, 26622, 103354, 125536, 7974, 120031, 61132, 145878, 118310, 6120, 104569, 74185, 81322, 144673, 157225, 63365, 48096, 156380, 36866, 64673, 166862, 160592, 128939, 147595, 90176, 24159, 12769, 31375, 11832, 37769, 19345, 131678, 159612, 101162, 41793, 108393, 116235, 142783, 70851, 46518, 55913, 101917, 136235, 91851, 178713, 10549, 176693, 171216, 6523, 61828, 124398, 127529, 75280, 96983, 151710, 134404, 117348, 120569, 172593, 52343, 136937, 161096, 23968, 131606, 166436, 161555, 34492, 75696, 87539, 165692, 89577, 108623, 125522, 118992, 91997, 178687, 89847, 102905, 109831, 128697, 112107, 62220, 57502, 41546, 153986, 52610, 65003, 111390, 79298, 74604, 114354, 27381, 83041, 169773)
Average QPS expected = 100117
Timestamp start: 1746457910020
Timestamp end: 1746458910252

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      470.7   543.0    63.8   165.4   190.7   316.6   387.1   441.4   499.1   606.6   836.1  1483.1  3155.5  5388.3  8976.0 164623.3   164642
read      320.1   294.6    63.8   123.8   144.4   270.6   334.1   376.1   411.9   458.7   521.9   621.7   952.5  3533.8  8062.4 121392.9   121534
read      238.6   238.7    59.1   103.2   114.1   197.7   251.6   281.3   302.2   326.5   360.3   428.3  1012.5  3031.5  7744.4 116534.5   116548
read      273.4   261.6    63.8   110.8   124.5   228.2   289.0   324.8   353.3   390.9   445.6   539.9   814.5  3532.9  7934.1 142146.7   142317
read      232.7   248.5    59.1   102.8   113.5   194.6   247.0   276.1   296.5   320.3   352.4   411.8   721.1  3501.5  7879.1 117955.6   117923
read      317.0   277.3    59.1   117.1   133.9   263.8   342.4   396.3   439.2   490.5   552.6   646.8   863.5  3474.8  8361.6 158019.8   158031
read      260.8   282.1    59.1   107.0   119.4   211.7   267.0   298.9   323.2   355.9   405.4   512.9  1203.7  3436.7  8248.6 134928.4   134909
read      243.1   251.8    63.8    99.7   111.5   218.3   252.0   271.5   286.7   305.7   333.8   395.3  1008.8  3540.6  7847.7  26503.4    26622
read      291.1   354.5    63.8   103.0   114.4   211.3   268.6   300.3   324.6   358.5   420.3   726.1  1717.7  3707.4  7798.1 103531.2   103354
read      245.1   255.7    54.7   104.4   115.8   201.9   255.3   285.5   307.3   333.8   371.0   453.9  1149.6  2997.0  8002.9 125592.4   125536
read      186.7   153.5    59.1   101.1   113.4   171.6   192.7   203.8   213.1   224.5   242.2   286.7   522.9  1861.8  7415.2   7952.2     7974
read      345.0   419.8    63.8   109.9   124.3   237.0   299.4   339.8   374.0   427.1   533.1  1315.3  1879.2  4248.5  7882.9 119927.9   120031
read      273.6   348.0    59.1    98.3   109.1   228.5   283.0   314.4   339.0   370.0   412.8   491.9  1382.2  4746.9 10286.4  61102.9    61132
read      345.9   377.7    63.8   120.2   139.3   267.3   334.8   381.0   421.0   474.7   557.1   734.1  1695.2  4499.6  8052.9 145888.7   145878
read      241.2   279.0    59.1   106.9   119.1   200.9   250.2   278.8   299.0   322.6   354.3   414.0   839.4  3640.7  8620.2 118291.3   118310
