Random waveform, random seed
Total number of intervals = 130 (30980, 22984, 43872, 48965, 70748, 54899, 50688, 137799, 134213, 54697, 156165, 98312, 85629, 90501, 58536, 89171, 108347, 39029, 20921, 17065, 130317, 27548, 98804, 130634, 104108, 21726, 63030, 26907, 161884, 136510, 174009, 46285, 174586, 115218, 22056, 9605, 59189, 42789, 47609, 21440, 165366, 39630, 150948, 97324, 103223, 21700, 158561, 125650, 176499, 69918, 111812, 177361, 29795, 64793, 82734, 82044, 36449, 58329, 111565, 54469, 162153, 106250, 153833, 109933, 98144, 58930, 72022, 124567, 177396, 87053, 42156, 75208, 113315, 60781, 24225, 75763, 174153, 23065, 173223, 142841, 173943, 152710, 134868, 41245, 170942, 126777, 31702, 76301, 117101, 167112, 159233, 42832, 55530, 148456, 35253, 82609, 80702, 53291, 144008, 175599, 160148, 7571, 179965, 44845, 119554, 88844, 36109, 120293, 84317, 83391, 97333, 84292, 20656, 112653, 143121, 157640, 41427, 81730, 175999, 62003, 86648, 52762, 175572, 64996, 156531, 122107, 123846, 129709, 145401, 150374)
Average QPS expected = 94469
Timestamp start: 1746533911464
Timestamp end: 1746535211709

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      211.3   138.0    54.7    98.3   109.0   205.7   238.7   255.6   267.6   281.2   297.8   325.9   412.4  1897.4  5200.3  30958.8    30980
read      211.0   176.9    59.1    97.6   108.5   196.6   227.8   243.9   255.1   269.2   287.9   319.8   687.4  2176.1  6650.9  22898.3    22984
read      240.2   283.3    54.7    95.2   104.7   210.4   258.6   283.6   300.3   319.2   343.5   386.9  1025.9  3990.6  8112.8  43833.4    43872
read      247.8   303.2    54.7    95.0   104.4   211.4   262.6   290.1   308.8   329.7   356.4   401.8  1195.1  3932.0  8526.5  48936.7    48965
read      259.7   390.3    54.7    95.1   104.3   209.0   267.4   301.1   324.7   351.5   384.9   437.3  1269.4  6207.3 10207.2  70771.0    70748
read      254.2   355.8    54.7    94.7   103.8   210.1   262.4   292.1   312.2   334.8   362.8   406.1  1305.1  5276.1  8006.0  54970.6    54899
read      244.5   267.4    54.7    94.9   104.1   211.6   263.4   291.5   310.4   331.5   358.1   401.1  1072.7  3877.7  7630.9  50678.0    50688
read      267.3   332.0    54.7   104.4   115.4   193.1   235.2   261.4   281.5   308.4   349.7   729.1  1574.7  3462.8  7521.9 138190.6   137799
read      198.9   143.7    54.7    99.7   109.2   170.8   212.9   240.2   260.8   283.9   311.9   353.0   477.1  1994.7  4224.6 134214.3   134213
read      244.2   343.0    50.7    95.2   104.5   206.4   253.2   278.5   296.6   318.7   347.3   396.0  1038.4  5418.0  8811.4  54820.2    54697
read      259.5   314.7    54.7   108.7   120.5   198.8   240.3   265.9   285.5   311.1   350.0   467.0  1543.6  3474.8  8104.8 156241.9   156165
read      217.7   210.2    54.7    96.3   105.1   180.2   234.6   265.7   286.7   310.8   341.8   396.5   655.1  3123.5  6676.8  98140.8    98312
read      259.2   369.1    54.7    96.3   106.0   203.1   265.9   303.3   330.5   361.7   399.4   463.0  1325.5  5537.1 12463.4  85495.8    85629
read      238.9   270.4    54.7    96.4   105.8   193.7   254.1   289.4   314.7   344.6   383.7   443.9   848.7  4195.5  7851.7  90592.7    90501
read      252.2   359.9    54.7    94.4   103.3   208.7   260.5   289.9   310.8   334.6   364.3   412.3  1209.3  6052.0  8024.6  58557.8    58536
read      236.8   275.0    50.7    95.9   105.0   191.4   249.8   282.7   306.5   335.2   373.1   436.1   977.4  4143.1  8079.6  89153.8    89171
read      226.2   261.7    54.7    97.2   106.6   180.8   234.0   266.9   290.2   317.7   356.0   426.9   855.5  3532.8  9002.9 108348.9   108347
read      235.6   226.5    54.7    95.3   105.1   208.2   252.8   275.8   291.9   310.6   334.6   377.7  1092.1  3071.0  7374.4  39058.8    39029
read      211.7   193.8    54.7    97.8   109.0   194.1   223.3   238.0   249.7   263.5   281.2   315.0   820.6  2877.7  7273.3  20884.1    20921
read      208.2   247.6    54.7    99.0   111.1   187.4   213.3   227.1   236.3   249.8   267.2   297.5   770.9  3813.9  8266.0  17052.5    17065
read      246.4   276.3    54.7   101.0   111.4   185.8   231.8   261.9   285.4   315.3   363.8   565.2  1381.4  3081.6  7745.5 130115.5   130317
read      216.1   195.1    59.1    97.3   107.9   199.9   232.6   250.2   263.1   277.7   297.0   333.0   692.6  2825.6  5901.7  27554.1    27548
read      239.5   298.1    54.7    97.3   106.9   189.2   247.4   281.6   306.7   337.2   377.4   445.3  1082.6  4463.0  9139.7  98821.8    98804
read      205.8   189.0    54.7    98.9   108.5   172.1   215.6   243.5   264.5   288.4   317.6   364.6   607.3  2685.0  5425.6 130688.7   130634
read      215.3   210.4    50.7    97.0   106.3   179.7   232.1   262.5   283.3   307.4   338.5   392.0   578.1  3182.9  7564.4 104178.1   104108
read      207.2   186.5    54.7    99.4   111.6   194.3   222.6   237.3   248.8   262.2   279.2   310.1   573.5  2280.9  7974.6  21731.7    21726
read      247.2   278.8    50.7    94.4   103.7   211.7   268.6   301.1   323.6   348.5   379.0   427.7   932.0  4355.5  7667.3  62955.4    63030
read      215.9   163.7    54.7    96.2   106.9   201.4   236.9   255.7   268.6   283.5   302.6   335.9   684.9  2270.6  6068.4  26820.6    26907
read      290.4   328.2    54.7   117.0   132.2   224.1   267.0   293.0   313.9   342.1   390.1   603.8  1572.6  3249.7  7813.7 161948.6   161884
read      197.9   142.3    54.7   101.5   111.0   173.9   215.3   241.8   262.2   285.2   313.0   354.0   450.6  1002.0  3090.6 136389.9   136510
read      218.8   166.9    59.1   114.9   128.2   198.4   234.7   257.8   274.8   296.3   325.1   372.5   499.1  1259.3  4362.1 174050.1   174009
read      232.2   222.9    59.1    95.6   105.5   209.3   253.6   277.2   294.5   314.5   339.7   379.8   798.9  3194.6  7282.6  46180.6    46285
read      253.7   243.9    59.1   120.3   135.3   216.8   257.1   281.7   300.5   324.6   360.4   430.0  1340.6  2317.6  7153.1 174672.6   174586
read      221.6   188.1    59.1    99.5   109.5   182.1   233.4   265.9   289.6   318.2   360.1   440.2   709.9  1750.4  7303.6 115090.6   115218
read      206.9   184.2    59.1    97.2   108.6   195.9   226.5   242.5   254.1   268.2   286.1   315.4   508.6  1915.6 10396.4  22076.7    22056
read      176.6   121.1    59.1    98.4   110.3   165.9   185.1   196.0   203.6   214.1   227.9   252.1   475.2  1921.8  3568.9   9601.1     9605
read      251.7   314.4    50.7    94.8   104.2   213.5   268.9   300.7   322.5   346.8   376.5   424.6   992.4  5136.0  7910.5  59073.2    59189
read      231.6   181.9    54.7    94.6   104.1   209.9   258.6   284.2   301.4   320.1   344.0   384.5   820.0  2612.4  4218.8  42767.4    42789
